case,dataset_mode,model_name,seed,history,label_coverage_query_minus_label,label_coverage_label,label_coverage_query_max,full_set_coverage_query_minus_label,full_set_coverage_label,full_set_coverage_query_max,partial_answer_recall_query_minus_label,partial_answer_recall_label,partial_answer_recall_query_max,mean_set_size_query_minus_label,mean_set_size_label,mean_set_size_query_max,multi_minus_single_full_set_coverage_query_minus_label,multi_minus_single_full_set_coverage_label,multi_minus_single_full_set_coverage_query_max
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,17,expanding,-0.0013136461562713864,0.84707582365614,0.8457621774998686,-0.001342869822314685,0.8471433758479388,0.8458005060256241,-0.0012825463424569472,0.8592018462358042,0.8579192998933473,-27.65787941835879,3280.3633183293086,3252.70543891095,-0.001256692334589471,-0.2756870097022772,-0.2769437020368667
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,17,rolling,-0.002469654773790131,0.9004413851085071,0.897971730334717,-0.0024724942222017487,0.9008754589099125,0.8984029646877107,-0.0023499261325539145,0.910476017366582,0.9081260912340281,-70.58879942827207,4616.771712130207,4546.182912701935,-0.0025851272108287082,-0.22136750171700703,-0.22395262892783574
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,17,static,-0.0008512427092638442,0.8006463139088855,0.7997950711996217,-0.0008875620284826136,0.8004253381668962,0.7995377761384136,-0.0008099483792390894,0.8137661236963004,0.8129561753170613,-11.554835772207753,2582.0397097556897,2570.484873983482,-0.0014314440282755525,-0.30185960660808053,-0.3032910506363561
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,29,expanding,-0.0003520571698807373,0.8459145604539962,0.8455625032841154,-0.0003861471162879271,0.8445325602706488,0.8441464131543609,-0.00035492875489651077,0.8568801835838415,0.856525254828945,-6.230253185713991,3145.837063207096,3139.606810021382,-0.0003791792968799168,-0.26878368023331656,-0.2691628595301965
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,29,rolling,-0.0013609374178971123,0.8999369449844989,0.8985760075666018,-0.0013486332121100952,0.8997919416283882,0.8984433084162781,-0.0012541685088931498,0.9094240249124146,0.9081698564035214,-48.20931479058709,4527.634364787994,4479.425049997407,-0.00252748201421249,-0.21588185703572638,-0.21840933904993887
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,29,static,0.0010193894172665363,0.7968052125479481,0.7978246019652147,0.001054700332547509,0.7944371761695359,0.7954918765020834,0.0010270360615298735,0.8083272426861232,0.8093542787476531,12.135001642566294,2455.528525897792,2467.6635275403582,0.00021250024915075993,-0.2948036986564664,-0.2945911984073156
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,43,expanding,-0.0005044401240081875,0.8477221375650255,0.8472176974410173,-0.000524468471376216,0.846843679578581,0.8463192111072048,-0.000506217737024306,0.8590698783318476,0.8585636605948233,-10.333233434576869,3211.5069016592797,3201.173668224703,-0.0002290995670234386,-0.2688169915705412,-0.2690460911375646
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,43,rolling,-0.0013241553255215477,0.9000315275077505,0.898707372182229,-0.0014581376182214445,0.8998726290855229,0.8984144914673015,-0.0012910953706531947,0.9095128863199972,0.908221790949344,-50.853517684961844,4545.825501847166,4494.9719841622045,-0.0024086688947427826,-0.21620884910762805,-0.21861751800237084
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,43,static,0.0008354789553886022,0.7964531553780674,0.797288634333456,0.0008529816897105968,0.7951518365041583,0.7960048181938689,0.0008469301304255827,0.809062202960358,0.8099091330907836,12.84048089724456,2489.7962756975144,2502.636756594759,-0.0001273397913856833,-0.30387989010510963,-0.3040072298964953
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,59,expanding,0.0004991855393831068,0.8455782670379907,0.8460774525773738,0.00048412474280878914,0.8428093067218415,0.8432934314646503,0.0004713492287623522,0.8550618661222433,0.8555332153510057,6.812355555043268,2804.5033283576067,2811.31568391265,0.0004325031967774562,-0.2511903449737539,-0.25075784177697646
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,59,rolling,-2.1018338500433664e-05,0.9002206925542536,0.9001996742157532,-2.8816948976717605e-05,0.8991003348529472,0.8990715179039704,1.3447909522401602e-05,0.9082460978171,0.9082595457266224,-11.255450725899209,4152.548081079368,4141.292630353469,-0.0006870700780695627,-0.19406024885839046,-0.19474731893646002
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,59,static,0.0006463139088854764,0.797971730334717,0.7986180442436025,0.0006397362672829754,0.7942527476960849,0.7948924839633679,0.0006415613407182441,0.8080779003965985,0.8087194617373168,8.766306070578139,2199.096934452968,2207.863240523546,-5.5597249736139e-05,-0.27728369663943186,-0.277339293889168
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,71,expanding,-0.0007724239398875232,0.8472965162103936,0.8465240922705061,-0.0007665308427805551,0.8471433758479388,0.8463768450051582,-0.0007527947637682164,0.8590222617542526,0.8582694669904843,-18.0803531805268,3195.0377847834984,3176.9574316029716,-0.0003655359778058642,-0.26850364281771344,-0.2688691787955193
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,71,rolling,-0.0015290841258998045,0.9003993484315065,0.8988702643056067,-0.0015100081263795806,0.9005123653528059,0.8990023572264263,-0.0014717501960237467,0.9102811050126463,0.9088093548166225,-57.00562506844017,4555.918010016771,4498.912384948331,-0.0010753459943463328,-0.2212129879889525,-0.22228833398329884
