statistic,family,run,comparison,dataset_mode,model_name,negative_sampling,deletion_rate,target_coverage,observed,ci95_low,ci95_high,pvalue_positive,pvalue_negative,iterations,block_length,seed_count,timestamp_count,excluded_timestamp_count,weighting
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.002394030469,-0.008614250036,0.003771236755,0.7780110994,0.2220388981,20000,7,5,73,0,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.002394030469,-0.008509405238,0.003986006856,0.7737113144,0.2263386831,20000,14,5,73,0,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.002394030469,-0.008424918371,0.004124268181,0.7746612669,0.2253887306,20000,21,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,0.0004197326148,-0.001203032783,0.002082708253,0.3056347183,0.6944152792,20000,3,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,0.0004197326148,-0.001086712865,0.001945006223,0.2911854407,0.7088645568,20000,7,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,0.0004197326148,-0.0009999814979,0.001878405477,0.2744862757,0.7255637218,20000,14,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,0.0004197326148,-0.000963869084,0.00172879219,0.2548372581,0.7452127394,20000,21,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.0006425536325,-0.004818271787,0.004633610408,0.6286185691,0.3714314284,20000,3,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.0006425536325,-0.004866489875,0.004589125581,0.6320183991,0.3680815959,20000,7,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.0006425536325,-0.0048987815,0.004498402847,0.6379181041,0.3621318934,20000,14,5,73,0,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.0006425536325,-0.004902358521,0.004468870142,0.6374181291,0.3626318684,20000,21,5,73,0,query_micro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2964656378,-0.3151239972,-0.2762793479,1,4.999750012e-05,20000,3,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2964656378,-0.3157928804,-0.2758956422,1,4.999750012e-05,20000,7,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2964656378,-0.3159478818,-0.2761237832,1,4.999750012e-05,20000,14,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2964656378,-0.3164564737,-0.2758713835,1,4.999750012e-05,20000,21,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2173906772,-0.2323855811,-0.2020463335,1,4.999750012e-05,20000,3,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2173906772,-0.23234618,-0.2022732316,1,4.999750012e-05,20000,7,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2173906772,-0.2325972093,-0.20193915,1,4.999750012e-05,20000,14,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__rolling_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.2173906772,-0.2324317807,-0.2020915588,1,4.999750012e-05,20000,21,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__static_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.3003541473,-0.3184116453,-0.280918715,1,4.999750012e-05,20000,3,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__static_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.3003541473,-0.3191819345,-0.280647431,1,4.999750012e-05,20000,7,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__static_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.3003541473,-0.3193524644,-0.280820072,1,4.999750012e-05,20000,14,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_distmult_filtered,multi-minus-single__static_margin,icews05_15,temporal_distmult,filtered,0.3,0.9,-0.3003541473,-0.3196903275,-0.2804415452,1,4.999750012e-05,20000,21,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3078679346,-0.3239237539,-0.291326272,1,4.999750012e-05,20000,3,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3078679346,-0.3245191245,-0.2909681473,1,4.999750012e-05,20000,7,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3078679346,-0.3244503009,-0.2905689937,1,4.999750012e-05,20000,14,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3078679346,-0.3244088091,-0.290465926,1,4.999750012e-05,20000,21,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__rolling_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.2294054715,-0.2443578486,-0.2139771564,1,4.999750012e-05,20000,3,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__rolling_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.2294054715,-0.2445398328,-0.213462881,1,4.999750012e-05,20000,7,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__rolling_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.2294054715,-0.2446707649,-0.2134152721,1,4.999750012e-05,20000,14,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__rolling_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.2294054715,-0.244563863,-0.2135234575,1,4.999750012e-05,20000,21,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__static_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3099493789,-0.3260038117,-0.2933225759,1,4.999750012e-05,20000,3,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__static_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3099493789,-0.3263596411,-0.2929225089,1,4.999750012e-05,20000,7,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__static_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3099493789,-0.3267764684,-0.2927968428,1,4.999750012e-05,20000,14,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews05_15_tcomplex_filtered,multi-minus-single__static_margin,icews05_15,continuous_tcomplex,filtered,0.3,0.9,-0.3099493789,-0.3263490139,-0.29293844,1,4.999750012e-05,20000,21,5,802,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews14,temporal_distmult,filtered,0.3,0.9,-0.3705131836,-0.3956946223,-0.3452879599,1,4.999750012e-05,20000,3,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews14,temporal_distmult,filtered,0.3,0.9,-0.3705131836,-0.3969336192,-0.3438751413,1,4.999750012e-05,20000,7,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews14,temporal_distmult,filtered,0.3,0.9,-0.3705131836,-0.3984313944,-0.3426980436,1,4.999750012e-05,20000,14,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__kgcp_softmax_static,icews14,temporal_distmult,filtered,0.3,0.9,-0.3705131836,-0.3989135392,-0.3406718899,1,4.999750012e-05,20000,21,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.2791855928,-0.2977376271,-0.2604417878,1,4.999750012e-05,20000,3,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.2791855928,-0.2992120277,-0.259984063,1,4.999750012e-05,20000,7,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.2791855928,-0.3011814415,-0.2572593451,1,4.999750012e-05,20000,14,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.2791855928,-0.3031569334,-0.2560634735,1,4.999750012e-05,20000,21,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.3715547594,-0.395034629,-0.3475680593,1,4.999750012e-05,20000,3,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.3715547594,-0.3961629649,-0.3460899223,1,4.999750012e-05,20000,7,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.3715547594,-0.396471434,-0.3466166708,1,4.999750012e-05,20000,14,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_distmult_filtered,multi-minus-single__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,-0.3715547594,-0.3965673592,-0.3448677181,1,4.999750012e-05,20000,21,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4030521919,-0.4257262464,-0.378087835,1,4.999750012e-05,20000,3,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4030521919,-0.4261085784,-0.377846963,1,4.999750012e-05,20000,7,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4030521919,-0.4274783853,-0.3765968907,1,4.999750012e-05,20000,14,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__kgcp_softmax_static,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4030521919,-0.4285102658,-0.3755222557,1,4.999750012e-05,20000,21,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.3053842578,-0.3275571819,-0.2825163817,1,4.999750012e-05,20000,3,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.3053842578,-0.3306086598,-0.2806460562,1,4.999750012e-05,20000,7,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.3053842578,-0.3337838813,-0.2773816461,1,4.999750012e-05,20000,14,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.3053842578,-0.3355684746,-0.2760095487,1,4.999750012e-05,20000,21,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4044098816,-0.4263149066,-0.3807074006,1,4.999750012e-05,20000,3,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4044098816,-0.4258962501,-0.3802728679,1,4.999750012e-05,20000,7,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4044098816,-0.4270478165,-0.3794309873,1,4.999750012e-05,20000,14,5,73,0,timestamp_macro
full_set_coverage_gap,multi_answer_degradation,icews14_tcomplex_filtered,multi-minus-single__static_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,-0.4044098816,-0.4279139097,-0.3790542391,1,4.999750012e-05,20000,21,5,73,0,timestamp_macro
coverage_change,negative_sampling_sensitivity,icews05_15_distmult_filtered|icews05_15_distmult_uniform_sensitivity,filtered-minus-uniform__rolling_margin,icews05_15,temporal_distmult,filtered-minus-uniform,0,0.9,0.0003215805791,-0.0003012225929,0.0009285610316,0.1538423079,0.8462076896,20000,3,5,804,0,query_micro
coverage_change,negative_sampling_sensitivity,icews05_15_distmult_filtered|icews05_15_distmult_uniform_sensitivity,filtered-minus-uniform__rolling_margin,icews05_15,temporal_distmult,filtered-minus-uniform,0.3,0.9,0.0001639430403,-0.0002925341751,0.0006206599106,0.2309384531,0.7691115444,20000,3,5,804,0,query_micro
coverage_change,negative_sampling_sensitivity,icews05_15_distmult_filtered|icews05_15_distmult_uniform_sensitivity,filtered-minus-uniform__rolling_margin,icews05_15,temporal_distmult,filtered-minus-uniform,0,0.9,0.0003215805791,-0.0002131569733,0.0008593917563,0.1194440278,0.8806059697,20000,7,5,804,0,query_micro
