statistic,family,run,comparison,dataset_mode,model_name,negative_sampling,deletion_rate,target_coverage,block_length,seed,observed,weighting
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,3,71,0.001114105089,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,17,0.0005181884133,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,29,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,43,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,59,0.001373199295,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,71,0.001114105089,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,17,0.0005181884133,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,29,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,43,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,59,0.001373199295,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,71,0.001114105089,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,17,0.0005181884133,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,29,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,43,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,59,0.001373199295,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__rolling_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,71,0.001114105089,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,3,17,0.002046844233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,3,29,-0.009042387812,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,3,43,-0.01119286973,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,3,59,0.005311431236,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,3,71,0.0009068297233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,17,0.002046844233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,29,-0.009042387812,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,43,-0.01119286973,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,59,0.005311431236,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,7,71,0.0009068297233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,17,0.002046844233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,29,-0.009042387812,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,43,-0.01119286973,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,59,0.005311431236,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,14,71,0.0009068297233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,17,0.002046844233,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,29,-0.009042387812,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,43,-0.01119286973,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,59,0.005311431236,query_micro
coverage_change,deletion_effect,icews14_distmult_filtered,delete0.3-minus-delete0__static_margin,icews14,temporal_distmult,filtered,0.3,0.9,21,71,0.0009068297233,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,3,17,-0.000155456524,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,3,29,0.0008031920406,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,3,43,-0.001347289875,query_micro
coverage_change,deletion_effect,icews14_tcomplex_filtered,delete0.3-minus-delete0__rolling_margin,icews14,continuous_tcomplex,filtered,0.3,0.9,3,59,0.0009845579853,query_micro
