deletion_rate,method,micro_coverage_mean,micro_coverage_sd,mean_size_mean,mean_size_sd,mrr_mean,mrr_sd,frequency_mrr_mean,macro_coverage_mean,macro_coverage_sd,positive_undercoverage_mean,fraction_below_target_mean,worst_window_mean,normalized_size_mean
0,rolling,0.901043286,0.0002336640975,4956.754318,150.7698864,0.1330276708,0.01395297446,0.09261339151,0.9016881365,0.0005852754919,0.007085061512,0.4657534247,0.847514805,0.69539202
0,static,0.8425484506,0.003447121596,4347.288182,150.0696086,0.1330276708,0.01395297446,0.09261339151,0.8405258593,0.003950704706,0.05971305796,0.9863013699,0.7654112554,0.6098889144
0,top1,0.0787732753,0.0131142711,1,0,0.1330276708,0.01395297446,0.09261339151,0.08008610971,0.01333179313,0.8199138903,1,0.04121620164,0.000140291807
0,weighted,0.9002055481,0.0004445057945,4945.863803,150.8450318,0.1330276708,0.01395297446,0.09261339151,0.9008338062,0.0005908216035,0.007560660239,0.4931506849,0.847514805,0.6938641699
0.3,rolling,0.9009051024,0.001108164227,5279.562787,195.2201973,0.1214845163,0.0100066441,0.0924404122,0.9009989212,0.001494079454,0.007552743314,0.4794520548,0.8431109788,0.7406794034
0.3,static,0.8517635679,0.000122443145,4747.135619,224.5785707,0.1214845163,0.0100066441,0.0924404122,0.8494762215,0.0006077469112,0.05080388841,0.9726027397,0.7765497076,0.6659842338
0.3,top1,0.06906587902,0.006542030381,1,0,0.1214845163,0.0100066441,0.0924404122,0.07024570993,0.006661414956,0.8297542901,1,0.03897260911,0.000140291807
0.3,weighted,0.8998773621,0.001231810629,5267.582046,194.6252277,0.1214845163,0.0100066441,0.0924404122,0.9000043617,0.001705152629,0.007992504982,0.5114155251,0.8430315664,0.7389986036
