deletion_rate,method,timestamp_id,timestamp_raw,timestamp_plot,coverage_mean,coverage_sd,coverage_min,coverage_max,seed_count
0,rolling,358,359,359,0.8822222222,0.02219442706,0.8633333333,0.9066666667,3
0,rolling,359,360,360,0.9454545455,0.00303030303,0.9424242424,0.9484848485,3
0,rolling,360,361,361,0.899122807,0.004385964912,0.8947368421,0.9035087719,3
0,rolling,361,362,362,0.9105691057,0.008130081301,0.9024390244,0.918699187,3
0,rolling,362,363,363,0.8602150538,0.008276776515,0.8532258065,0.8693548387,3
0,rolling,363,364,364,0.9274611399,0.007772020725,0.9196891192,0.9352331606,3
0,rolling,364,365,365,0.9190207156,0.007109071973,0.9124293785,0.9265536723,3
0,static,292,293,293,0.8899543379,0.002092500317,0.8876712329,0.8917808219,3
0,static,293,294,294,0.8804457953,0.0043871601,0.8753799392,0.8829787234,3
0,static,294,295,295,0.877562028,0.006539566156,0.8705501618,0.8834951456,3
0,static,295,296,296,0.8848848849,0.006068246073,0.8783783784,0.8903903904,3
0,static,296,297,297,0.8572351421,0.005920640433,0.8507751938,0.8624031008,3
0,static,297,298,298,0.8299086758,0.01296554417,0.8150684932,0.8390410959,3
0,static,298,299,299,0.8941798942,0.009986553486,0.8849206349,0.9047619048,3
0,static,299,300,300,0.8717948718,0.007537753023,0.8632478632,0.8774928775,3
0,static,300,301,301,0.8428714859,0.007117192208,0.8373493976,0.8509036145,3
0,static,301,302,302,0.8701298701,0.01136363636,0.8571428571,0.8782467532,3
0,static,302,303,303,0.8461988304,0.004415107857,0.8421052632,0.850877193,3
0,static,303,304,304,0.8714637146,0.007456553292,0.8671586716,0.8800738007,3
0,static,304,305,305,0.8770325203,0.007672595971,0.868902439,0.8841463415,3
0,static,305,306,306,0.9146341463,0.01613262995,0.8963414634,0.9268292683,3
0,static,306,307,307,0.873997709,0.00847574375,0.8642611684,0.8797250859,3
0,static,307,308,308,0.8662131519,0.009965077002,0.8588435374,0.8775510204,3
0,static,308,309,309,0.8612099644,0.001779359431,0.859430605,0.8629893238,3
0,static,309,310,310,0.8711395101,0.003325345047,0.8674121406,0.8738019169,3
0,static,310,311,311,0.8833333333,0.005184758474,0.8774193548,0.8870967742,3
0,static,311,312,312,0.8523592085,0.009227059097,0.8424657534,0.8607305936,3
0,static,312,313,313,0.8391304348,0.007838154947,0.8304347826,0.8456521739,3
0,static,313,314,314,0.8614609572,0.007660909988,0.8564231738,0.8702770781,3
0,static,314,315,315,0.8667649951,0.00742363268,0.8598820059,0.8746312684,3
0,static,315,316,316,0.8479758829,0.01052264576,0.8359173127,0.8552971576,3
