run,dataset_mode,model_name,negative_sampling,seed,method,deletion_rate,coverage_change_vs_delete0,mean_size_change_vs_delete0,mrr_change_vs_delete0
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,static_margin,0.2,-0.006484157427,316.3768746,-0.0001051040799
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,static_margin,0.3,-0.006720613735,483.7449372,-0.003040107425
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,top1,0.1,0.0009983710788,0,-0.0007427595658
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,top1,0.2,0.001975723819,0,-0.0001051040799
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,top1,0.3,0.0002574746466,0,-0.003040107425
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,weighted,0.1,-0.0002732384005,168.5541327,-0.0007427595658
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,weighted,0.2,-4.729126163e-05,477.1928695,-0.0001051040799
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,weighted,0.3,-0.0001208554464,538.7453155,-0.003040107425
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,adaptive,0.1,-0.0001103462771,263.7114182,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,adaptive,0.2,-0.0003520571699,405.7772687,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,adaptive,0.3,-0.0001471283695,681.4621722,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_minmax_static,0.1,0.002280489727,97.05525721,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_minmax_static,0.2,-0.0004466396931,46.72092901,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_minmax_static,0.3,0.006689086228,282.7139246,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_negscore_static,0.1,-0.0007251326783,94.96828333,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_negscore_static,0.2,-0.0007881876938,-36.88288582,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_negscore_static,0.3,-0.0006568230781,70.02685618,-0.001135448135
