run,dataset_mode,model_name,negative_sampling,deletion_rate,method,seed_count,multi_query_count_mean,multi_query_count_sd,full_set_coverage_multi_minus_single_mean,full_set_coverage_multi_minus_single_sd,partial_recall_multi_minus_single_mean,partial_recall_multi_minus_single_sd,mean_size_multi_minus_single_mean,mean_size_multi_minus_single_sd
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_softmax_static,5,3439,0,-0.3565731158,0.003311060591,-0.1652858045,0.006126614184,-1759.063606,49.89337018
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,rolling_margin,5,3439,0,-0.2722654258,0.003236052554,-0.1248025413,0.002559380684,-2142.947185,41.19748996
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,static_margin,5,3439,0,-0.3580720202,0.004967350794,-0.1677550906,0.006975532278,-1759.778794,53.5372705
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_softmax_static,5,3439,0,-0.363366352,0.00570447924,-0.1685056044,0.005463476048,-1774.532077,38.6732189
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,rolling_margin,5,3439,0,-0.2753861585,0.008427233746,-0.1277851809,0.005664558918,-2168.505819,17.48389018
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,static_margin,5,3439,0,-0.3609507421,0.004636723386,-0.1680182958,0.005224362136,-1777.594704,41.68648511
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,kgcp_softmax_static,5,3439,0,-0.3622512268,0.007221200378,-0.1704297301,0.009243610675,-1810.677097,57.50891206
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,rolling_margin,5,3439,0,-0.2773355872,0.002927173651,-0.1279942618,0.004365280348,-2198.471392,34.20779974
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,static_margin,5,3439,0,-0.3630302811,0.007343028389,-0.1718719525,0.01016320125,-1810.498945,65.51449058
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,kgcp_softmax_static,5,3439,0,-0.3788739932,0.009134502353,-0.1805439858,0.008966272078,-1781.748341,31.80735781
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,rolling_margin,5,3439,0,-0.292578197,0.00429061079,-0.1390439795,0.005856938489,-2197.507566,29.31751544
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,static_margin,5,3439,0,-0.3791755036,0.01009946612,-0.1817489981,0.009652309865,-1783.566962,35.01422246
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,kgcp_softmax_static,5,3439,0,-0.3833179512,0.004333229885,-0.1825583485,0.004384540746,-1791.871682,27.04156493
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,rolling_margin,5,3439,0,-0.29567191,0.002919593786,-0.1410120953,0.002829691258,-2213.79387,19.98073486
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,static_margin,5,3439,0,-0.3846473741,0.00361603724,-0.1835444583,0.004527668428,-1795.647951,32.96965099
