run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,answer_group,query_count,mean_answer_count,full_set_coverage,partial_answer_recall,mean_size
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,rolling_margin,multi,3439,2.34690317,0.6589124746,0.8083902205,1938.382088
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,rolling_margin,single,30525,1,0.9271089271,0.9271089271,4111.431351
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,static_margin,multi,3439,2.34690317,0.4893864495,0.6881223547,1130.135795
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,static_margin,single,30525,1,0.8493693694,0.8493693694,2847.121966
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4911311428,0.6909345186,1163.380634
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,single,30525,1,0.8475020475,0.8475020475,2897.635774
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,rolling_margin,multi,3439,2.34690317,0.6501890084,0.8052416954,2125.809828
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,rolling_margin,single,30525,1,0.9275348075,0.9275348075,4292.33009
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,static_margin,multi,3439,2.34690317,0.4858970631,0.6881416248,1180.471067
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,static_margin,single,30525,1,0.8441277641,0.8441277641,2900.007928
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,kgcp_softmax_static,multi,3439,2.34690317,0.5298051759,0.707207937,1331.13754
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,kgcp_softmax_static,single,30525,1,0.8738738739,0.8738738739,3147.408419
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,rolling_margin,multi,3439,2.34690317,0.663855772,0.8068951153,2054.013958
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,rolling_margin,single,30525,1,0.9295004095,0.9295004095,4181.517903
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,static_margin,multi,3439,2.34690317,0.5303867403,0.7074402166,1376.444024
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,static_margin,single,30525,1,0.8752170352,0.8752170352,3209.789189
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.5106135505,0.6977336297,1224.397208
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,kgcp_softmax_static,single,30525,1,0.8657821458,0.8657821458,2999.488616
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,rolling_margin,multi,3439,2.34690317,0.6580401279,0.8043323087,2096.99244
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,rolling_margin,single,30525,1,0.9298935299,0.9298935299,4225.376708
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,static_margin,multi,3439,2.34690317,0.5094504216,0.6944138662,1263.989241
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.1,static_margin,single,30525,1,0.8648321048,0.8648321048,3033.635315
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.5091596394,0.6961486359,1294.102646
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,kgcp_softmax_static,single,30525,1,0.8667977068,0.8667977068,3087.372023
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,rolling_margin,multi,3439,2.34690317,0.6574585635,0.8015417226,2152.928177
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,rolling_margin,single,30525,1,0.930974611,0.930974611,4312.288485
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,static_margin,multi,3439,2.34690317,0.5111951149,0.6963445677,1340.314045
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.2,static_margin,single,30525,1,0.866961507,0.866961507,3142.322228
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.5045071242,0.6945675653,1328.211108
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,kgcp_softmax_static,single,30525,1,0.8656838657,0.8656838657,3130.636757
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,rolling_margin,multi,3439,2.34690317,0.6571677813,0.8030220851,2145.009596
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,rolling_margin,single,30525,1,0.9297952498,0.9297952498,4301.768649
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,static_margin,multi,3439,2.34690317,0.5062518174,0.6921598425,1373.928468
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0.3,static_margin,single,30525,1,0.8644389844,0.8644389844,3175.85923
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,kgcp_softmax_static,multi,3439,2.34690317,0.489968014,0.6938094546,1093.1041
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,kgcp_softmax_static,single,30525,1,0.8537264537,0.8537264537,2763.112465
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,rolling_margin,multi,3439,2.34690317,0.6589124746,0.809333301,1981.206746
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,rolling_margin,single,30525,1,0.9273382473,0.9273382473,4057.525111
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,static_margin,multi,3439,2.34690317,0.4954928758,0.694201549,1135.180285
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0,static_margin,single,30525,1,0.8544471744,0.8544471744,2808.841704
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.4992730445,0.6974839262,1124.68043
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,kgcp_softmax_static,single,30525,1,0.8518918919,0.8518918919,2799.313939
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,rolling_margin,multi,3439,2.34690317,0.6528060483,0.8066878753,2019.904333
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,rolling_margin,single,30525,1,0.9274365274,0.9274365274,4096.944308
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,static_margin,multi,3439,2.34690317,0.5015993021,0.69789656,1169.488805
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.1,static_margin,single,30525,1,0.8532022932,0.8532022932,2846.463784
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.4856062809,0.6852740738,1251.684211
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,kgcp_softmax_static,single,30525,1,0.8582800983,0.8582800983,3027.347584
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,rolling_margin,multi,3439,2.34690317,0.6426286711,0.7970253673,2141.855481
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,rolling_margin,single,30525,1,0.9313677314,0.9313677314,4331.217068
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,static_margin,multi,3439,2.34690317,0.4917127072,0.6865971328,1303.916255
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.2,static_margin,single,30525,1,0.8592956593,0.8592956593,3079.920819
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4925850538,0.6897959678,1349.554231
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,kgcp_softmax_static,single,30525,1,0.8631613432,0.8631613432,3157.748698
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,rolling_margin,multi,3439,2.34690317,0.6522244839,0.8044500334,2142.570224
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,rolling_margin,single,30525,1,0.931007371,0.931007371,4357.024505
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,static_margin,multi,3439,2.34690317,0.4896772318,0.6875876385,1395.408549
icews14_distmult_filtered,icews14,temporal_distmult,filtered,59,0.3,static_margin,single,30525,1,0.8630958231,0.8630958231,3211.286454
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,kgcp_softmax_static,multi,3439,2.34690317,0.5007269555,0.6951318213,1146.34574
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,kgcp_softmax_static,single,30525,1,0.8579197379,0.8579197379,2876.200753
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,rolling_margin,multi,3439,2.34690317,0.6577493457,0.7995076319,2081.990404
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,rolling_margin,single,30525,1,0.931957412,0.931957412,4240.065061
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,static_margin,multi,3439,2.34690317,0.4984006979,0.6923936222,1169.049724
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0,static_margin,single,30525,1,0.8581490581,0.8581490581,2905.468436
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.5004361733,0.6924393165,1233.158476
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,kgcp_softmax_static,single,30525,1,0.860966421,0.860966421,3004.276233
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,rolling_margin,multi,3439,2.34690317,0.659494039,0.805032263,2155.824658
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,rolling_margin,single,30525,1,0.9321539722,0.9321539722,4331.984472
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,static_margin,multi,3439,2.34690317,0.4960744402,0.6890080865,1279.13027
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.1,static_margin,single,30525,1,0.8606060606,0.8606060606,3045.935495
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.4937481826,0.6890496268,1167.623437
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,kgcp_softmax_static,single,30525,1,0.8541850942,0.8541850942,2931.565766
