run,dataset_mode,model_name,negative_sampling,deletion_rate,method,answer_group,seed_count,query_count_mean,query_count_sd,mean_answer_count_mean,mean_answer_count_sd,full_set_coverage_mean,full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,mean_size_mean,mean_size_sd
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,rolling_margin,multi,5,13594,0,2.235912903,0,0.7366632338,0.002438328959,0.8577503471,0.002668711818,1779.237031,26.91059647
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,rolling_margin,single,5,159915,0,1,0,0.9089003533,0.0006479419434,0.9089003533,0.0006479419434,3838.114961,72.19568526
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,static_margin,multi,5,13594,0,2.235912903,0,0.5683831102,0.00648317544,0.7405346674,0.006078213518,822.314065,13.78659011
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,static_margin,single,5,159915,0,1,0,0.8120501516,0.001922177018,0.8120501516,0.001922177018,1999.624315,33.76150735
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5364719729,0.005965635992,0.7093611725,0.00548459555,1049.591393,33.18256689
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_softmax_static,single,5,159915,0,1,0,0.8197767564,0.002279855233,0.8197767564,0.002279855233,2576.63363,66.2935562
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,rolling_margin,multi,5,13594,0,2.235912903,0,0.7144769751,0.005411824009,0.8330025608,0.003485395631,2291.014668,34.20278085
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,rolling_margin,single,5,159915,0,1,0,0.9150361129,0.0007001068146,0.9150361129,0.0007001068146,4721.688376,83.63235935
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,static_margin,multi,5,13594,0,2.235912903,0,0.5331322642,0.006237508339,0.7063853313,0.006048650549,1080.642887,36.70005152
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,static_margin,single,5,159915,0,1,0,0.8179270237,0.002626080354,0.8179270237,0.002626080354,2617.532545,74.48674076
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5357804914,0.01548626657,0.7096268837,0.01637747951,905.7345447,156.863155
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_softmax_static,single,5,159915,0,1,0,0.820210737,0.005979089959,0.820210737,0.005979089959,2253.10414,362.6645647
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,rolling_margin,multi,5,13594,0,2.235912903,0,0.7097837281,0.01816236352,0.8304230476,0.01306732318,1992.885906,216.3023053
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,rolling_margin,single,5,159915,0,1,0,0.9155326267,0.0031919721,0.9155326267,0.0031919721,4338.773362,414.3285854
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,static_margin,multi,5,13594,0,2.235912903,0,0.5317198764,0.01377232547,0.706262923,0.01528072351,926.0061203,160.8675029
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,static_margin,single,5,159915,0,1,0,0.8180583435,0.006781685844,0.8180583435,0.006781685844,2293.185526,370.5586072
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,multi,5,13594,0,2.235912903,0,0.5263498602,0.009535757411,0.7008210688,0.01000297783,1006.729925,56.1015715
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,single,5,159915,0,1,0,0.8210211675,0.002863371529,0.8210211675,0.002863371529,2523.51488,150.7346488
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,rolling_margin,multi,5,13594,0,2.235912903,0,0.7030307489,0.009826086594,0.8250190417,0.006925746053,2164.99463,99.90050947
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,rolling_margin,single,5,159915,0,1,0,0.9167770378,0.001527856921,0.9167770378,0.001527856921,4676.510214,193.4491871
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,static_margin,multi,5,13594,0,2.235912903,0,0.5235545093,0.008996438714,0.6982675262,0.01006837954,1028.650051,59.07800767
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,static_margin,single,5,159915,0,1,0,0.8192764906,0.003056197532,0.8192764906,0.003056197532,2561.729269,150.9458126
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.5062518174,0.01483701771,0.6972651241,0.00567719228,1189.602268,89.97848841
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,kgcp_softmax_static,single,5,30525,0,1,0,0.861025389,0.007685192277,0.861025389,0.007685192277,2930.381975,142.0233078
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,rolling_margin,multi,5,3439,0,2.34690317,0,0.6596103518,0.002438066161,0.8038095292,0.004293737713,2052.558069,48.12419939
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,rolling_margin,single,5,30525,0,1,0,0.9297231777,0.00168186958,0.9297231777,0.00168186958,4190.914994,83.572775
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,static_margin,multi,5,3439,0,2.34690317,0,0.5052631579,0.01460381068,0.6954306808,0.007045653651,1225.509683,94.15234505
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,static_margin,single,5,30525,0,1,0,0.8613267813,0.008235255845,0.8613267813,0.008235255845,2972.256518,151.880588
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.5046815935,0.005076627588,0.6959689048,0.002327846146,1221.58959,57.26748043
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_softmax_static,single,5,30525,0,1,0,0.8612547093,0.005516608594,0.8612547093,0.005516608594,2980.653196,106.3427141
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,rolling_margin,multi,5,3439,0,2.34690317,0,0.65751672,0.00440705349,0.8049796045,0.001039102187,2083.821634,50.09954351
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,rolling_margin,single,5,30525,0,1,0,0.9297821458,0.001778812463,0.9297821458,0.001778812463,4226.768819,84.83738157
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,static_margin,multi,5,3439,0,2.34690317,0,0.5036347776,0.005672116663,0.6939517071,0.003610574918,1265.907706,58.19203363
