run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,timestamp_count,query_count,timestamp_macro_coverage,coverage,mean_size,mrr,frequency_mrr
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,kgcp_negscore_static,73,38596,0.8983992858,0.8986164369,2781.508498,0.3191567103,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,kgcp_softmax_static,73,38596,0.8161853966,0.8195149756,2515.31296,0.3191567103,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,rolling_margin,73,38596,0.8988211204,0.8991605348,3716.74772,0.3191567103,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,static_margin,73,38596,0.8139331374,0.8175199503,2541.264561,0.3191567103,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,top1,73,38596,0.2320523155,0.2289615504,1,0.3191567103,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0,weighted,73,38596,0.8977167211,0.8981500674,3695.89771,0.3191567103,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,adaptive,73,38596,0.8976532029,0.8975541507,3720.659965,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,kgcp_minmax_static,73,38596,0.9015064312,0.9016219297,2061.924992,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,kgcp_negscore_static,73,38596,0.9003907524,0.9000932739,2894.370427,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,kgcp_softmax_static,73,38596,0.8204139218,0.8239973054,2630.01666,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,rolling_margin,73,38596,0.898854187,0.89892735,3740.546456,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,static_margin,73,38596,0.8190483029,0.8228832003,2663.582832,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,top1,73,38596,0.2320337484,0.2286765468,1,0.3172108884,0.09277009956
