dataset_mode,model_name,seed,deletion_rate,method,filtered_run,uniform_run,coverage_filtered_minus_uniform,mean_size_filtered_minus_uniform,mrr_filtered_minus_uniform
icews05_15,temporal_distmult,43,0,kgcp_minmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.000714623509,-13.49847092,0.001137715365
icews05_15,temporal_distmult,43,0,kgcp_negscore_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0006358047396,20.99871788,0.001137715365
icews05_15,temporal_distmult,43,0,kgcp_softmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001518574957,143.0855184,0.001137715365
icews05_15,temporal_distmult,43,0,rolling_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0006095318165,292.5569282,0.001137715365
icews05_15,temporal_distmult,43,0,static_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001833850034,138.4842573,0.001137715365
icews05_15,temporal_distmult,43,0,top1,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0006778414166,0,0.001137715365
icews05_15,temporal_distmult,43,0,weighted,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0006042772319,294.5038884,0.001137715365
icews05_15,temporal_distmult,43,0.3,adaptive,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-1.576375388e-05,76.90431927,0.0006594833076
icews05_15,temporal_distmult,43,0.3,kgcp_minmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-3.678209238e-05,-28.45095371,0.0006594833076
icews05_15,temporal_distmult,43,0.3,kgcp_negscore_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.000378330093,-55.22558983,0.0006594833076
icews05_15,temporal_distmult,43,0.3,kgcp_softmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0008197152015,63.78053702,0.0006594833076
icews05_15,temporal_distmult,43,0.3,rolling_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0002154379696,80.56156797,0.0006594833076
icews05_15,temporal_distmult,43,0.3,static_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.0004046030161,49.7640744,0.0006594833076
icews05_15,temporal_distmult,43,0.3,top1,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0004046030161,0,0.0006594833076
icews05_15,temporal_distmult,43,0.3,weighted,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0001523829541,79.42446009,0.0006594833076
icews05_15,temporal_distmult,59,0,adaptive,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.0003152750775,255.3868057,0.0005232445732
icews05_15,temporal_distmult,59,0,kgcp_minmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001928432557,30.15073827,0.0005232445732
icews05_15,temporal_distmult,59,0,kgcp_negscore_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0007408964321,-14.79161894,0.0005232445732
icews05_15,temporal_distmult,59,0,kgcp_softmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.00566969681,180.0595029,0.0005232445732
icews05_15,temporal_distmult,59,0,rolling_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0001944196311,266.6440912,0.0005232445732
icews05_15,temporal_distmult,59,0,static_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.005070674163,162.3392885,0.0005232445732
icews05_15,temporal_distmult,59,0,top1,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001297882402,0,0.0005232445732
icews05_15,temporal_distmult,59,0,weighted,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0,265.811413,0.0005232445732
icews05_15,temporal_distmult,59,0.3,adaptive,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,8.4073354e-05,-457.5384741,-0.002073606647
icews05_15,temporal_distmult,59,0.3,kgcp_minmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.001355682833,102.7962955,-0.002073606647
icews05_15,temporal_distmult,59,0.3,kgcp_negscore_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.00168146708,425.6321528,-0.002073606647
icews05_15,temporal_distmult,59,0.3,kgcp_softmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.005007619148,-353.5971783,-0.002073606647
icews05_15,temporal_distmult,59,0.3,rolling_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,6.830960013e-05,-455.3957596,-0.002073606647
icews05_15,temporal_distmult,59,0.3,static_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.003725500499,-359.3506332,-0.002073606647
icews05_15,temporal_distmult,59,0.3,top1,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.005406967579,0,-0.002073606647
icews05_15,temporal_distmult,59,0.3,weighted,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,3.678209238e-05,-459.6746834,-0.002073606647
icews05_15,temporal_distmult,71,0,adaptive,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,5.780043088e-05,245.815438,-0.001345402964
icews05_15,temporal_distmult,71,0,kgcp_minmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0005202038779,-2.572760233,-0.001345402964
