run,dataset_mode,model_name,negative_sampling,deletion_rate,method,seed_count,coverage_mean,coverage_sd,timestamp_macro_coverage_mean,timestamp_macro_coverage_sd,mean_size_mean,mean_size_sd,mrr_mean,mrr_sd,coverage_abs_error_mean,undercoverage_mean
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.2,weighted,5,0.8991550628,0.0001444485218,0.8991618004,0.000356856119,4113.659155,131.0101326,0.3281161099,0.002290667826,0.0008449372077,0.0008449372077
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,adaptive,5,0.8995260365,0.0002231621534,0.8997420881,0.0002316114052,4286.96729,249.3807852,0.3268693174,0.001167706665,0.0004739635332,0.0004739635332
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,kgcp_minmax_static,5,0.856609742,0.0009787614228,0.8586710653,0.001182685988,1982.062994,150.9598052,0.3268693174,0.001167706665,0.043390258,0.043390258
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,kgcp_negscore_static,5,0.832890547,0.0009139322467,0.8351691762,0.0009765838805,2269.366126,214.889156,0.3268693174,0.001167706665,0.067109453,0.067109453
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,kgcp_softmax_static,5,0.8013210026,0.003596494679,0.8046327032,0.003575306318,2317.885265,158.4300197,0.3268693174,0.001167706665,0.09867899743,0.09867899743
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,rolling_margin,5,0.9002206926,0.0001128207165,0.9004818312,0.000243649443,4307.230859,249.203402,0.3268693174,0.001167706665,0.0002206925543,0
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,static_margin,5,0.7990751931,0.003146041852,0.8024512158,0.003095330581,2361.667923,165.8826021,0.3268693174,0.001167706665,0.1009248069,0.1009248069
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,top1,5,0.2291660974,0.001947114676,0.2306486006,0.002160450272,1,0,0.3268693174,0.001167706665,0.6708339026,0.6708339026
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,0.3,weighted,5,0.8992433398,0.0001707537892,0.8994892667,0.0002129822031,4277.735324,250.388597,0.3268693174,0.001167706665,0.000756660186,0.000756660186
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,adaptive,5,0.8990793968,0.0001700814159,0.8994668558,0.0001932383656,3472.83254,67.79739898,0.328257504,0.001515724912,0.0009206032263,0.0009206032263
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,kgcp_minmax_static,5,0.8514077032,0.002576709753,0.8536026901,0.002526540005,1742.820259,68.79924495,0.328257504,0.001515724912,0.04859229678,0.04859229678
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,kgcp_negscore_static,5,0.8323167464,0.002737041963,0.8346489503,0.002807113931,2046.074879,101.1578779,0.328257504,0.001515724912,0.06768325364,0.06768325364
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,kgcp_softmax_static,5,0.8028658505,0.002302475402,0.8061287943,0.002376156922,1770.415068,25.72503803,0.328257504,0.001515724912,0.09713414955,0.09713414955
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,rolling_margin,5,0.8998896537,5.397151643e-05,0.9003109448,0.0002004215369,3497.175343,64.65628863,0.328257504,0.001515724912,0.0001103462771,0.0001103462771
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,static_margin,5,0.7993431769,0.002092674198,0.8026447279,0.002083209804,1804.814063,30.64332503,0.328257504,0.001515724912,0.1006568231,0.1006568231
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,top1,5,0.2271010457,0.001851626453,0.2285734086,0.001722322575,1,0,0.328257504,0.001515724912,0.6728989543,0.6728989543
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0,weighted,5,0.8989144028,3.594688955e-05,0.8993222678,0.0001866991336,3467.800976,65.5638845,0.328257504,0.001515724912,0.001085597184,0.001085597184
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,adaptive,5,0.8994367085,0.0001178128965,0.8996560281,0.0003683900375,4300.146256,74.70801483,0.3266480606,0.001620642052,0.0005632914718,0.0005632914718
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_minmax_static,5,0.8570721454,0.001465787078,0.8591194304,0.001481942057,1982.221554,100.631783,0.3266480606,0.001620642052,0.04292785455,0.04292785455
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_negscore_static,5,0.8320519153,0.001261376146,0.8343131276,0.001429585417,2170.875758,133.0725795,0.3266480606,0.001620642052,0.0679480847,0.0679480847
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,kgcp_softmax_static,5,0.7999453523,0.002347978082,0.8032375055,0.002751668857,2323.736379,60.63252422,0.3266480606,0.001620642052,0.1000546477,0.1000546477
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,rolling_margin,5,0.9000567495,0.0001147257662,0.9003315369,0.0003024683682,4318.602751,75.09606521,0.3266480606,0.001620642052,9.878619095e-05,2.10183385e-05
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,static_margin,5,0.7979149808,0.002723067507,0.8012439912,0.002994877292,2363.141474,68.12867642,0.3266480606,0.001620642052,0.1020850192,0.1020850192
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,top1,5,0.2296285009,0.00178219368,0.2312223339,0.001847467747,1,0,0.3266480606,0.001620642052,0.6703714991,0.6703714991
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,0.3,weighted,5,0.899076244,0.0001573482712,0.8993494722,0.0003396085121,4289.726999,73.32812735,0.3266480606,0.001620642052,0.0009237559771,0.0009237559771
