run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,baseline,coverage_gain,undercoverage_reduction,absolute_error_reduction,mean_size_change,mean_size_ratio
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0,kgcp_minmax_static,0.04927749461,0.04885712784,0.04843676107,1978.281336,2.154728693
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0,kgcp_softmax_static,0.09364720719,0.09322684042,0.09280647365,1787.660612,1.938985733
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,static_margin,0.09701014135,0.09701014135,0.09701014135,1863.696606,1.894797113
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,kgcp_negscore_static,0.06690137145,0.06690137145,0.06690137145,1755.270259,1.801039319
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,kgcp_minmax_static,0.04657663812,0.04657663812,0.04657663812,2136.255956,2.180085408
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,kgcp_softmax_static,0.09345278756,0.09345278756,0.09345278756,1887.581105,1.916777595
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,static_margin,0.103200042,0.1031632599,0.1031264779,1931.079828,1.891088684
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,kgcp_negscore_static,0.06700120855,0.06696442646,0.06692764437,2038.79165,1.989997885
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,kgcp_minmax_static,0.04934054963,0.04930376754,0.04926698544,2338.260507,2.328616705
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,kgcp_softmax_static,0.1010351532,0.1009983711,0.100961589,1971.136514,1.926701821
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,static_margin,0.09850769797,0.09839735169,0.09828700541,1948.278094,1.806059501
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,kgcp_negscore_static,0.06694340812,0.06683306185,0.06672271557,2199.018491,2.015103563
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,kgcp_minmax_static,0.04227838789,0.04216804162,0.04205769534,2369.404093,2.187127321
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,kgcp_softmax_static,0.09637433661,0.09626399033,0.09615364405,1989.524166,1.837414434
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,static_margin,0.09831327834,0.09826073249,0.09820818664,1834.030214,1.94784205
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,kgcp_negscore_static,0.06337554516,0.06332299932,0.06327045347,1689.981168,1.812880791
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,kgcp_minmax_static,0.04389154537,0.04383899953,0.04378645368,1934.92435,2.054995533
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0,kgcp_softmax_static,0.09338973254,0.0933371867,0.09328464085,1846.071026,1.960038964
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,static_margin,0.09662130209,0.09645840996,0.09629551784,1831.375219,1.889289499
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,kgcp_negscore_static,0.06731122905,0.06714833692,0.0669854448,1791.478567,1.853383454
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,kgcp_minmax_static,0.0439493458,0.04378645368,0.04362356156,1996.888582,2.054403805
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.1,kgcp_softmax_static,0.09332142294,0.09315853082,0.09299563869,1857.932253,1.913971528
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,static_margin,0.1048815091,0.1047291262,0.1045767432,2000.241206,1.892342337
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,kgcp_negscore_static,0.06985444801,0.06970206505,0.0695496821,2155.05068,2.032729102
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,kgcp_minmax_static,0.0454889391,0.04533655615,0.04518417319,2302.735574,2.187547471
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.2,kgcp_softmax_static,0.1027428932,0.1025905102,0.1024381273,2047.818712,1.93337859
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,static_margin,0.097609164,0.09741474436,0.09722032473,1835.25655,1.883199398
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,kgcp_negscore_static,0.06744784825,0.06725342862,0.06705900899,1339.335857,1.520355812
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,kgcp_minmax_static,0.04288791971,0.04269350008,0.04249908045,1705.297094,1.772353359
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,0.3,kgcp_softmax_static,0.09457726867,0.09438284904,0.0941884294,1866.525169,1.911970189
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,static_margin,0.1008249698,0.1008249698,0.1008249698,1859.373291,1.981213918
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,kgcp_negscore_static,0.06872471231,0.06872471231,0.06872471231,1814.073601,1.934958356
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,kgcp_minmax_static,0.05166833062,0.05166833062,0.05166833062,2041.462929,2.191828756
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0,kgcp_softmax_static,0.09698912301,0.09698912301,0.09698912301,1877.970648,2.000850367
