case,dataset_mode,model_name,deletion_rate,family,comparison,metric,left_method,right_method,observed,ci95_low,ci95_high,pvalue_positive,pvalue_negative,block_length,iterations,seed_count,timestamp_count,excluded_timestamp_count,weighting
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.09355200023,0.1114949109,4.999750012e-05,1,7,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.09019027545,0.1146475909,4.999750012e-05,1,14,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.1025687428,0.08806360787,0.1167044734,4.999750012e-05,1,21,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.09466073025,0.1076706908,4.999750012e-05,1,3,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.09213673346,0.1101955238,4.999750012e-05,1,7,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.08903341857,0.1130517227,4.999750012e-05,1,14,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.1011454994,0.08679232688,0.1155006175,4.999750012e-05,1,21,20000,5,804,0,label_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2026.081484,1904.517154,2150.867919,4.999750012e-05,1,3,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2026.081484,1866.983367,2183.221485,4.999750012e-05,1,7,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2026.081484,1821.746221,2224.284933,4.999750012e-05,1,14,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,2026.081484,1786.063692,2253.194597,4.999750012e-05,1,21,20000,5,804,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06694061561,0.05308916034,0.08196530513,4.999750012e-05,1,3,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06694061561,0.04884847089,0.08752752625,4.999750012e-05,1,7,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06694061561,0.04403001669,0.09289413725,4.999750012e-05,1,14,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06694061561,0.04203012115,0.09463789495,4.999750012e-05,1,21,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07967259451,0.06544078475,0.09468739502,4.999750012e-05,1,3,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07967259451,0.06106441149,0.1003626055,4.999750012e-05,1,7,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07967259451,0.05697271211,0.1055171475,4.999750012e-05,1,14,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07967259451,0.05502172961,0.1065941882,4.999750012e-05,1,21,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.08023111203,0.06596866777,0.09572173339,4.999750012e-05,1,3,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.08023111203,0.06123232418,0.1013899411,4.999750012e-05,1,7,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.08023111203,0.05729758533,0.1062919124,4.999750012e-05,1,14,20000,5,73,0,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.08023111203,0.05451895444,0.1081867203,4.999750012e-05,1,21,20000,5,73,0,label_count
