case,dataset_mode,model_name,deletion_rate,family,comparison,metric,block_length,seed,observed,weighting
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,59,0.1048475872,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,21,71,0.1042424312,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,17,0.0997950712,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,29,0.1031317324,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,43,0.1035783721,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,59,0.1022489622,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,3,71,0.1036204088,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,17,0.0997950712,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,29,0.1031317324,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,43,0.1035783721,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,59,0.1022489622,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,7,71,0.1036204088,label_count
