target_coverage,selection_tolerance,deletion_rate,method,seed_count,observed_label_coverage_mean,observed_label_coverage_sd,full_set_coverage_mean,full_set_coverage_sd,macro_time_full_set_coverage_mean,macro_time_full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,positive_label_undercoverage_mean,positive_label_undercoverage_sd,positive_full_set_undercoverage_mean,positive_full_set_undercoverage_sd,fraction_timestamps_label_below_target_mean,fraction_timestamps_label_below_target_sd,fraction_timestamps_full_set_below_target_mean,fraction_timestamps_full_set_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,full_vocabulary_set_rate_mean,full_vocabulary_set_rate_sd,pool_score_count_mean_mean,pool_score_count_mean_sd,pool_span_blocks_mean_mean,pool_span_blocks_mean_sd
0.88,0.01,0.2,adaptive_mass_rolling,5,0.8798631983,0.001034009889,0.8667177011,0.001256665224,0.868959985,0.001482599909,0.8750991713,0.001168640387,0.01036064031,0.001249135512,0.01873210073,0.001562474085,0.4904109589,0.02031835202,0.6493150685,0.01225242727,2394.841827,76.69306018,1923.473283,93.74380786,4125.508774,42.91881955,0,0,1000,0,2.424657534,0
0.88,0.01,0.3,margin_rolling,5,0.8794797388,0.0008103893576,0.8822164645,0.001459075165,0.8818683117,0.00134388028,0.8990611118,0.001109301013,0.009300953596,0.000631340838,0.007753146797,0.0007675443997,0.5205479452,0.05216282949,0.4657534247,0.05393156078,3737.942404,79.19637538,4340.171352,404.3197095,7128,0,0.3238723354,0.02589468456,1000,0,2.424657534,0
0.88,0.01,0.3,rank_rolling,5,0.8789252772,0.001055630054,0.865604758,0.001133763461,0.8678131155,0.001027102205,0.8716848372,0.001235247529,0.01087499817,0.001641761661,0.0192945456,0.001708149522,0.498630137,0.03001219493,0.6547945205,0.01786082851,2908.05434,165.291566,2908.05434,165.291566,2908.05434,165.291566,0,0,1000,0,2.424657534,0
0.88,0.01,0.3,adaptive_mass_rolling,5,0.8793968287,0.0005633139463,0.8662642798,0.0006766753655,0.8682458402,0.0005847495093,0.8741456921,0.0007790222369,0.01028898126,0.001107212455,0.01857792635,0.001135545311,0.4794520548,0.02562779032,0.6821917808,0.02031835202,2545.053586,156.7669846,2048.571705,159.2773275,4212.531548,78.76357685,0,0,1000,0,2.424657534,0
0.88,0.02,0,margin_rolling,5,0.878489999,0.0008061952619,0.8779060181,0.004639874726,0.877603868,0.004770731726,0.89504888,0.004570553021,0.009322649994,0.0004900317222,0.009850175892,0.002595153495,0.5287671233,0.03701166051,0.5479452055,0.08717754837,3408.349564,190.6776927,2643.446467,853.3170791,7128,0,0.2667353669,0.03483434858,1000,0,2.424657534,0
0.88,0.02,0,rank_rolling,5,0.879516012,0.0002670053483,0.8663172771,0.0003127056424,0.8691451695,0.000605949684,0.8729109206,0.0006975669029,0.01016019512,0.0004196232478,0.01849153161,0.0007519621387,0.4767123288,0.0592376666,0.6547945205,0.01146109625,2699.311306,236.9714659,2699.311306,236.9714659,2699.311306,236.9714659,0,0,1000,0,2.424657534,0
0.88,0.02,0,adaptive_mass_rolling,5,0.8793501917,0.0005687103081,0.8662466141,0.0007376616949,0.8686604158,0.0004791070698,0.8748417979,0.0008554877603,0.01022044433,0.0007611069928,0.01876918056,0.0007998067596,0.498630137,0.02077500122,0.6876712329,0.0225091462,2345.606554,230.277434,1908.168084,251.0945673,4022.113758,140.9051476,0,0,1000,0,2.424657534,0
0.88,0.02,0.1,margin_rolling,5,0.8789511867,0.001008971524,0.8790896243,0.002754654112,0.8790619347,0.002584604035,0.8963802288,0.00229456009,0.009062968744,0.0009951619225,0.00924110203,0.002010021774,0.495890411,0.05427839111,0.5068493151,0.05033198102,3462.886397,123.6433993,2858.295913,676.1187583,7128,0,0.2735013544,0.01690866262,1000,0,2.424657534,0
0.88,0.02,0.1,rank_rolling,5,0.8790600062,0.0004675914717,0.8658520787,0.0004853175394,0.8685607955,0.0006292858142,0.8721835118,0.0005090045036,0.01092083312,0.0004019772299,0.01922946216,0.0004189155335,0.4849315068,0.01225242727,0.6383561644,0.02292219251,2645.346979,56.49860588,2645.346979,56.49860588,2645.346979,56.49860588,0,0,1000,0,2.424657534,0
0.88,0.02,0.1,adaptive_mass_rolling,5,0.8799098352,0.0008958442129,0.8667530326,0.000940009364,0.8692430323,0.0005570482204,0.8749625327,0.0008363544564,0.01011316466,0.0004552097404,0.01829391015,0.0007981537328,0.4904109589,0.03922690702,0.6602739726,0.0225091462,2319.367377,60.36995019,1867.690684,73.58179912,4030.185415,19.20531404,0,0,1000,0,2.424657534,0
