seed,deletion_rate,method,query_count,coverage,mean_size,median_size,p90_size,mrr,frequency_mrr,hits_at_1,hits_at_3,hits_at_10
17,0.0,adaptive,38596,0.8983314333091512,3636.1556378899368,3816.8650637371748,7128.0,0.31959823706192536,0.09261339150592005,0.23893667737589389,0.35102083117421495,0.48051611565965385
29,0.0,adaptive,38596,0.8982018862058244,3687.980308840294,3946.4599440356515,7128.0,0.31954410677798833,0.09261339150592005,0.2381334853352679,0.35151311016685666,0.4821743185822365
43,0.0,adaptive,38596,0.8965955021245725,3212.463674992227,1766.903539226863,7128.0,0.3163375420848188,0.09261339150592005,0.23264068815421288,0.35319722251010466,0.4800497460876775
59,0.0,adaptive,38596,0.898098248523163,3474.4461602238575,2815.043061457146,7128.0,0.3196405224178217,0.09261339150592005,0.2357757280547207,0.35472587832936053,0.48564618095139395
71,0.0,adaptive,38596,0.8984091615711473,3466.9823297751063,2773.0374391128616,7128.0,0.31633446478474136,0.09261339150592005,0.2341434345528034,0.34809306663902995,0.4790910975230594
17,0.0,rolling,38596,0.8987459840397969,3646.283293605555,3875.4894548657894,7128.0,0.31959823706192536,0.09261339150592005,0.23893667737589389,0.35102083117421495,0.48051611565965385
29,0.0,rolling,38596,0.8988237123017929,3698.8165353922686,4007.219970981449,7128.0,0.31954410677798833,0.09261339150592005,0.2381334853352679,0.35151311016685666,0.4821743185822365
43,0.0,rolling,38596,0.897657788371852,3230.23598300342,1837.2287024562131,7128.0,0.3163375420848188,0.09261339150592005,0.23264068815421288,0.35319722251010466,0.4800497460876775
59,0.0,rolling,38596,0.8990309876671158,3491.0820292258263,2877.656337444295,7128.0,0.3196405224178217,0.09261339150592005,0.2357757280547207,0.35472587832936053,0.48564618095139395
71,0.0,rolling,38596,0.8989532594051197,3478.5127215255466,2845.355036791377,7128.0,0.31633446478474136,0.09261339150592005,0.2341434345528034,0.34809306663902995,0.4790910975230594
17,0.0,static,38596,0.8257591460254948,2611.2831122396105,559.9720696445228,7128.0,0.31959823706192536,0.09261339150592005,0.23893667737589389,0.35102083117421495,0.48051611565965385
29,0.0,static,38596,0.8242563996269043,2660.4312882163954,576.3560990776247,7128.0,0.31954410677798833,0.09261339150592005,0.2381334853352679,0.35151311016685666,0.4821743185822365
43,0.0,static,38596,0.8049279718105503,2049.033449062079,204.70243030365842,7126.228080630117,0.3163375420848188,0.09261339150592005,0.23264068815421288,0.35319722251010466,0.4800497460876775
59,0.0,static,38596,0.8188931495491761,2419.5675458596747,383.6945538397761,7127.977645351852,0.3196405224178217,0.09261339150592005,0.2357757280547207,0.35472587832936053,0.48564618095139395
71,0.0,static,38596,0.8171831277852627,2447.1135091719348,396.01285107265,7127.975033682246,0.31633446478474136,0.09261339150592005,0.2341434345528034,0.34809306663902995,0.4790910975230594
17,0.0,top1,38596,0.2302052026116696,1.0,1.0,1.0,0.31959823706192536,0.09261339150592005,0.23893667737589389,0.35102083117421495,0.48051611565965385
29,0.0,top1,38596,0.2301533837703389,1.0,1.0,1.0,0.31954410677798833,0.09261339150592005,0.2381334853352679,0.35151311016685666,0.4821743185822365
43,0.0,top1,38596,0.22455694890662245,1.0,1.0,1.0,0.3163375420848188,0.09261339150592005,0.23264068815421288,0.35319722251010466,0.4800497460876775
59,0.0,top1,38596,0.22748471344180743,1.0,1.0,1.0,0.3196405224178217,0.09261339150592005,0.2357757280547207,0.35472587832936053,0.48564618095139395
