deletion_rate,method,cap_label,cap_size,cap_rank,seed_count,query_count_mean,query_count_sd,label_count_mean,label_count_sd,answered_count_mean,answered_count_sd,answer_rate_mean,answer_rate_sd,abstention_rate_mean,abstention_rate_sd,label_answer_rate_mean,label_answer_rate_sd,conditional_full_set_coverage_mean,conditional_full_set_coverage_sd,unconditional_full_set_recall_mean,unconditional_full_set_recall_sd,conditional_partial_answer_recall_mean,conditional_partial_answer_recall_sd,unconditional_partial_answer_recall_mean,unconditional_partial_answer_recall_sd,conditional_label_recall_mean,conditional_label_recall_sd,unconditional_label_recall_mean,unconditional_label_recall_sd,candidate_load_mean,candidate_load_sd,mean_answered_set_size_mean,mean_answered_set_size_sd,median_answered_set_size_mean,median_answered_set_size_sd,p90_answered_set_size_mean,p90_answered_set_size_sd,top1_accuracy_on_answered_mean,top1_accuracy_on_answered_sd,full_vocabulary_answered_rate_mean,full_vocabulary_answered_rate_sd,candidate_load_saved_vs_uncapped_mean,candidate_load_saved_vs_uncapped_sd,candidate_load_reduction_vs_uncapped_mean,candidate_load_reduction_vs_uncapped_sd,unconditional_full_set_recall_loss_vs_uncapped_mean,unconditional_full_set_recall_loss_vs_uncapped_sd,conditional_full_set_coverage_delta_vs_uncapped_mean,conditional_full_set_coverage_delta_vs_uncapped_sd
0,static,5000,5000,5000,5,33964,0,38596,0,22424.4,1141.752294,0.6602402544,0.0336165438,0.3397597456,0.0336165438,0.687299202,0.03162560285,0.7264508233,0.00535499076,0.4795077141,0.02128846698,0.7564531046,0.006387382359,0.49929321,0.02172972709,0.7373332786,0.002528991235,0.5067934501,0.02404543184,269.4352668,18.75658425,409.974596,46.74511487,78.8,4.91934955,1137.6,190.5224396,0.3072715378,0.006912471488,0,0,2364.373978,236.6072034,0.8974571146,0.003510197295,0.3383052644,0.03413985594,-0.09136215513,0.008355613891
0,static,inf,inf,1000000000000,5,33964,0,38596,0,33964,0,1,0,0,0,1,0,0.8178129784,0.01305892123,0.8178129784,0.01305892123,0.8376367502,0.01269393395,0.8376367502,0.01269393395,0.818203959,0.00823835245,0.818203959,0.00823835245,2633.809245,254.7256356,2633.809245,254.7256356,372.5,135.0564697,7128,0,0.2588505476,0.00275803505,0.2009303969,0.02767408912,0,0,0,0,0,0,0,0
0,rolling,1,1,1,5,33964,0,38596,0,452.6,89.95165368,0.01332587446,0.002648441105,0.9866741255,0.002648441105,0.01618302415,0.004675146581,0.4970158366,0.06335247772,0.006506889648,0.0007463073758,0.566470463,0.05046329984,0.007457929311,0.001027785114,0.4912142266,0.07018937113,0.007705461706,0.001365183086,0.01332587446,0.002648441105,1,0,1,0,1,0,0.6598839958,0.02457440022,0,0,3758.946402,190.9808858,0.9999964659,6.315883685e-07,0.8913143328,0.003350329677,-0.4008053858,0.06676963158
0,rolling,10,10,10,5,33964,0,38596,0,2408.8,508.6179313,0.07092215287,0.01497520702,0.9290778471,0.01497520702,0.08070266349,0.01997226814,0.664238361,0.04126773724,0.04663172771,0.007789713801,0.7189341124,0.03395880208,0.05059546531,0.008965973603,0.6709917303,0.04857920435,0.05340449788,0.01058531276,0.2980037687,0.06930943836,4.188095003,0.1573355683,3.4,0.5477225575,8.8,0.4472135955,0.6498372643,0.02646743305,0,0,3758.661724,190.9137986,0.9999213215,1.503601778e-05,0.8511894948,0.004472681982,-0.2335828614,0.04488361154
0,rolling,50,50,50,5,33964,0,38596,0,5302.8,742.6147723,0.15613002,0.02186476187,0.84386998,0.02186476187,0.1720540989,0.02890085604,0.7122230459,0.03440139463,0.1106053468,0.0112393693,0.7562675706,0.02735392983,0.1176085352,0.01312783358,0.7263177067,0.03803367509,0.1241113069,0.01602205349,2.626004004,0.2452815193,16.9326266,1.055624351,13,1.870828693,40.4,1.140175425,0.5218772919,0.02290935079,0,0,3756.333724,190.7752743,0.9993022833,4.188262403e-05,0.7872158756,0.007904072155,-0.1855981765,0.03800332412
0,rolling,100,100,100,5,33964,0,38596,0,7148.2,532.7632683,0.2104640207,0.01568611672,0.7895359793,0.01568611672,0.231039486,0.02224065636,0.733526244,0.02688344074,0.1540572371,0.006770455013,0.7746823781,0.02074868538,0.1627961007,0.008514256411,0.7504061926,0.03095703777,0.172852109,0.01098386184,6.625450477,0.2918329414,31.71322756,3.981900101,22.6,5.458937626,78.2,4.147288271,0.4732005997,0.008651512516,0,0,3752.334277,191.2337149,0.9982308392,0.0001675051419,0.7437639854,0.004107812413,-0.1642949784,0.03048743103
0,rolling,250,250,250,5,33964,0,38596,0,10047,155.0483795,0.295813214,0.004565080071,0.704186786,0.004565080071,0.3233184786,0.003014491783,0.7579781365,0.0193997476,0.2242845366,0.009068726508,0.7956040999,0.01576973915,0.235403946,0.008205961864,0.775392406,0.02453545515,0.2507513732,0.0101144352,20.75649511,3.701946893,70.04492943,11.40182209,46,16.41645516,181.6,11.41490254,0.4175325765,0.001503166958,0,0,3738.203233,194.4765108,0.9944268912,0.001317644606,0.6735366859,0.01270373283,-0.139843086,0.02298872544
0,rolling,500,500,500,5,33964,0,38596,0,12160,533.5906671,0.3580261453,0.01571047777,0.6419738547,0.01571047777,0.3914809825,0.0146267182,0.7653339863,0.01639265913,0.2742079849,0.01798177248,0.8027414001,0.01306898343,0.2875633379,0.0174019957,0.7836602362,0.02027864515,0.3070162711,0.01947927212,43.08283477,7.623689741,119.803679,15.44407058,68.8,23.72129845,331.76,15.78252198,0.3831723518,0.004439214515,0,0,3715.876893,198.3270265,0.9884315409,0.002717469049,0.6236132375,0.02161277827,-0.1324872362,0.01994285833
0,rolling,1000,1000,1000,5,33964,0,38596,0,14033.2,780.5127802,0.4131786598,0.02298059063,0.5868213402,0.02298059063,0.4514872007,0.02245318228,0.7752971629,0.0112231694,0.3205393947,0.0225438284,0.8112693464,0.008656717156,0.3353576131,0.02230414579,0.7938904548,0.01505953969,0.3587003835,0.02478044501,82.49419974,12.44441998,198.8385969,18.68035299,95.6,30.07158127,583.4,29.657714,0.3588003744,0.007465899802,0,0,3676.465528,203.3934772,0.9778689041,0.004564208529,0.5772818278,0.02608992023,-0.1225240595,0.01474916902
0,rolling,2000,2000,2000,5,33964,0,38596,0,15681,897.6196299,0.4616947356,0.02642856053,0.5383052644,0.02642856053,0.4988133485,0.02583345559,0.7876505822,0.008796858765,0.3638381816,0.02493851396,0.8208050296,0.006644845638,0.3791010726,0.02480070658,0.8040595422,0.01268107138,0.4013369261,0.02722101862,152.6038924,17.65235699,329.6755397,19.59716535,123.8,31.84650687,1032.74,28.21237317,0.3417384276,0.007182906614,0,0,3606.355836,208.325089,0.959123925,0.006902991042,0.5339830409,0.02841301945,-0.1101706402,0.01223691011
