seed,deletion_rate,candidate,k_reg,penalty,threshold,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,full_vocabulary_set_rate,target_coverage,selection_tolerance,selected,selection_feasible,selection_target_coverage,selection_coverage_tolerance,selection_observed_label_coverage,selection_full_set_coverage,selection_mean_size,selection_p90_size
17,0,raps_k500_lam0p002,500,0.002,4.934894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p0001,1000,0.0001,1.059698467,0.8690280066,0.8593374051,0.8673422173,2213.095132,1614.297427,4086.975569,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p0005,1000,0.0005,1.662754544,0.8698517298,0.8606329817,0.8678511938,2495.744401,2327.849528,3059.395817,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p001,1000,0.001,2.42099998,0.8703459638,0.8610031464,0.8681596644,2511.865815,2421.741255,2816.784638,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,raps_k1000_lam0p002,1000,0.002,3.934894699,0.8701812191,0.8606329817,0.8678820408,2514.38164,2467.68536,2673.915936,0,0.88,0.03,False,True,0.88,0.03,0.8690280066,0.8593374051,2213.095132,4086.975569
17,0,aps,0,0,0.9999866277,0.8728171334,0.8882102536,0.8985008329,4729.960207,6738.250231,7126.154729,0,0.9,0,False,False,0.9,0,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p0001,50,0.0001,1.249529439,0.889291598,0.8804367944,0.8876550065,3036.346474,2557.546918,4535.879845,0,0.9,0,True,False,0.9,0,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p0005,50,0.0005,2.420608489,0.8859967051,0.8769202295,0.883567771,3037.113641,2892.938182,3519.277327,0,0.9,0,False,False,0.9,0,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p001,50,0.001,3.931152208,0.8856672158,0.8769202295,0.8830279474,3058.744771,2981.68536,3318.2201,0,0.9,0,False,False,0.9,0,0.889291598,0.8804367944,3036.346474,4535.879845
17,0,raps_k50_lam0p002,50,0.002,6.998854222,0.8856672158,0.8769202295,0.8829045592,3089.054044,3049.362761,3223.238608,0,0.9,0,False,False,0.9,0,0.889291598,0.8804367944,3036.346474,4535.879845
