deletion_rate,method,seed_count,micro_coverage,micro_coverage_sd,macro_time_coverage,positive_undercoverage,mean_size,normalized_mean_size,median_size,mrr,hits_at_1,hits_at_3,hits_at_10,frequency_mrr
0.0,adaptive,5,0.8979272463467718,0.0007539596895581423,0.8979377523724436,0.009063161796488717,3495.6056223442843,0.49040482917287936,3023.6618095139393,0.3182909746254591,0.23592600269457975,0.35171002176391336,0.4814954917608042,0.09261339150592003
0.0,rolling,5,0.8986423463571354,0.0005614039973059702,0.8986252687004509,0.008627575296178858,3508.986112550523,0.49228200232190283,3088.589900507825,0.3182909746254591,0.23592600269457975,0.35171002176391336,0.4814954917608042,0.09261339150592003
0.0,static,5,0.8182039589594776,0.008238352450109383,0.8142344519415472,0.08583718430797925,2437.485780909939,0.3419592846394415,424.1476007876464,0.3182909746254591,0.23592600269457975,0.35171002176391336,0.4814954917608042,0.09261339150592003
0.0,top1,5,0.22778526272152555,0.002427036543913041,0.2305071481002699,0.6694928518997301,1.0,0.00014029180695847364,1.0,0.3182909746254591,0.23592600269457975,0.35171002176391336,0.4814954917608042,0.09261339150592003
0.0,weighted,5,0.8977251528655821,0.0008531638220716995,0.8976993755874794,0.009187037336445918,3491.7658202922585,0.4898661364046378,3008.050502642761,0.3182909746254591,0.23592600269457975,0.35171002176391336,0.4814954917608042,0.09261339150592003
0.1,adaptive,5,0.8973261477873354,0.0005683560817989698,0.8975227852043945,0.00907495056717135,3539.0352730852937,0.49649765335091106,3212.2285159083845,0.3173399015123692,0.23545445123847034,0.35,0.47868172867654674,0.09252139442019788
0.1,rolling,5,0.8983884340346149,0.0005756907691705072,0.8986073961384449,0.008433283839753836,3556.838734583895,0.4989953331346653,3316.214576640066,0.3173399015123692,0.23545445123847034,0.35,0.47868172867654674,0.09252139442019788
0.1,static,5,0.8197637060835319,0.002025960968464065,0.8154016465940156,0.08466400582691748,2499.2420406259716,0.3506231819060005,451.26978961550424,0.3173399015123692,0.23545445123847034,0.35,0.47868172867654674,0.09252139442019788
0.1,top1,5,0.22713752720489172,0.002747473865416842,0.22976330307809728,0.6702366969219028,1.0,0.00014029180695847364,1.0,0.3173399015123692,0.23545445123847034,0.35,0.47868172867654674,0.09252139442019788
0.1,weighted,5,0.897284692714271,0.0005427389770038454,0.8974725843427741,0.00912515142879182,3538.658358379106,0.4964447753057108,3211.6958285832725,0.3173399015123692,0.23545445123847034,0.35,0.47868172867654674,0.09252139442019788
0.2,adaptive,5,0.8974453311223961,0.0007171810010687776,0.8976837344043493,0.00902324118204068,3667.9316043113276,0.5145807525689292,3920.207767644316,0.31456018462237606,0.2332158772929837,0.3481034304072961,0.47401803295678313,0.09251497124879296
0.2,rolling,5,0.8983469789615505,0.000939301370972788,0.8985765058144395,0.008470998120387783,3683.0679966835946,0.516704264405667,4001.303471862369,0.31456018462237606,0.2332158772929837,0.3481034304072961,0.47401803295678313,0.09251497124879296
0.2,static,5,0.8173696756140533,0.006301195608919203,0.8133458395224278,0.08671078703376157,2586.5419939890144,0.36287065011069225,553.4269147061872,0.31456018462237606,0.2332158772929837,0.3481034304072961,0.47401803295678313,0.09251497124879296
0.2,top1,5,0.22525650326458702,0.001925594697889466,0.2280255680224752,0.6719744319775248,1.0,0.00014029180695847364,1.0,0.31456018462237606,0.2332158772929837,0.3481034304072961,0.47401803295678313,0.09251497124879296
0.2,weighted,5,0.8973935122810655,0.0006821611455596841,0.8976171564208336,0.009106748505060314,3666.1102290392787,0.514325228540864,3914.308280650845,0.31456018462237606,0.2332158772929837,0.3481034304072961,0.47401803295678313,0.09251497124879296
0.3,adaptive,5,0.8988858949113897,0.0006211780227377479,0.8986767868753167,0.008892117220854982,3787.336195460669,0.5313322384204081,4569.404093688465,0.31051825335082517,0.230966939579231,0.3425847238055757,0.4660897502331848,0.09253943100938297
0.3,rolling,5,0.899782360866411,0.0004539697240111861,0.8995402856219776,0.008501638659209498,3802.518862058244,0.53346224215183,4653.754036687739,0.31051825335082517,0.230966939579231,0.3425847238055757,0.4660897502331848,0.09253943100938297
0.3,static,5,0.8234842988910767,0.005578485396391328,0.8192834315746177,0.08076486754683791,2748.5863457353094,0.3856041450245945,748.2972950564825,0.31051825335082517,0.230966939579231,0.3425847238055757,0.4660897502331848,0.09253943100938297
0.3,top1,5,0.2232666597574878,0.0017604493296623153,0.2260292291854471,0.673970770814553,1.0,0.00014029180695847364,1.0,0.31051825335082517,0.230966939579231,0.3425847238055757,0.4660897502331848,0.09253943100938297
0.3,weighted,5,0.8988133485335268,0.0005528489987928937,0.8986046236348619,0.008944914036287357,3786.1204891698626,0.5311616847881401,4564.001896569593,0.31051825335082517,0.230966939579231,0.3425847238055757,0.4660897502331848,0.09253943100938297
