seed,deletion_rate,method,query_count,label_count,cap_size,cap_label,cap_rank,answered_count,answer_rate,abstention_rate,answered_label_count,label_answer_rate,conditional_full_set_coverage,unconditional_full_set_recall,conditional_partial_answer_recall,unconditional_partial_answer_recall,conditional_label_recall,unconditional_label_recall,candidate_load,mean_answered_set_size,top1_accuracy_on_answered,full_vocabulary_answered_rate,median_answered_set_size,p90_answered_set_size,candidate_load_saved_vs_uncapped,candidate_load_reduction_vs_uncapped,unconditional_full_set_recall_loss_vs_uncapped,conditional_full_set_coverage_delta_vs_uncapped
17,0,rolling,33964,38596,500,500,500,11924,0.3510776116,0.6489223884,15018,0.3891076796,0.7520966119,0.2640442822,0.793779286,0.2786781359,0.7708083633,0.2999274536,38.92603934,110.8758806,0.3863636364,0,55,320,3865.930897,0.9900313789,0.6356141797,-0.14756185
17,0,rolling,33964,38596,1000,1000,1000,13487,0.3970969262,0.6029030738,16850,0.4365737382,0.7651812857,0.3038511365,0.8039735207,0.3192554138,0.7827299703,0.3417193492,72.21458014,181.8563061,0.3644250019,0,73,545.4,3832.642357,0.9815064722,0.5958073254,-0.1344771762
17,0,rolling,33964,38596,2000,2000,2000,14946,0.440054175,0.559945825,18447,0.477951083,0.7789375084,0.3427747026,0.8147145863,0.3585185551,0.7937876077,0.3793916468,134.5196973,305.6889469,0.3480529908,0,98,987,3770.337239,0.965550672,0.5568837593,-0.1207209535
17,0,rolling,33964,38596,3000,3000,3000,15296,0.4503592039,0.5496407961,18824,0.4877189346,0.781707636,0.3520492286,0.8167968231,0.367851967,0.7960582235,0.3882526687,157.4909021,349.7006407,0.3447306485,0,105,1143.5,3747.366035,0.9596679457,0.5476092333,-0.1179508259
17,0,rolling,33964,38596,4000,4000,4000,15613,0.4596926157,0.5403073843,19171,0.4967095036,0.7853071159,0.3609998822,0.8198226397,0.3768664136,0.7990715143,0.3969064152,191.9146449,417.4847243,0.3418305258,0,113,1321.8,3712.942292,0.9508523237,0.5386585797,-0.114351346
17,0,rolling,33964,38596,5000,5000,5000,16407,0.4830703097,0.5169296903,20044,0.5193284278,0.7942951179,0.3837003886,0.8272317226,0.3996110845,0.8066753143,0.4189294227,296.8599694,614.5274578,0.3341256781,0,131,1850.4,3607.996967,0.9239767361,0.5159580733,-0.105363344
17,0,rolling,33964,38596,inf,inf,1000000000000,33964,1,0,38596,1,0.8996584619,0.8996584619,0.9156427651,0.9156427651,0.898745984,0.898745984,3904.856937,3904.856937,0.2616005182,0.3326757743,5692,7128,0,0,0,0
17,0,static,33964,38596,1,1,1,1259,0.03706866094,0.9629313391,1703,0.04412374339,0.4980142971,0.01846072312,0.5661062572,0.0209848009,0.4862008221,0.02145300031,0.03706866094,1,0.6576648133,0,1,1,2821.645301,0.9999868629,0.8093864091,-0.3298328352
17,0,static,33964,38596,10,10,10,5172,0.1522788835,0.8477211165,6447,0.167038035,0.6051817479,0.0921564009,0.6526885458,0.09939068304,0.609430743,0.1017981138,0.587209987,3.856148492,0.5580046404,0,3,8,2821.09516,0.9997918937,0.7356907314,-0.2226653844
17,0,static,33964,38596,50,50,50,9496,0.2795901543,0.7204098457,11690,0.3028811276,0.6404802022,0.1790719585,0.6847664347,0.1914539531,0.6541488452,0.1981293398,3.911111765,13.9887321,0.4399747262,0,9,37,2817.771258,0.9986139079,0.6487751737,-0.1873669301
17,0,static,33964,38596,100,100,100,11888,0.3500176658,0.6499823342,14554,0.3770857084,0.6535161507,0.2287421976,0.6952927055,0.2433647298,0.6672392469,0.2516063841,9.056707102,25.875,0.4007402423,0,14,71,2812.625662,0.9967903166,0.5991049346,-0.1743309815
17,0,static,33964,38596,250,250,250,15137,0.4456777765,0.5543222235,18563,0.4809565758,0.6749025566,0.3007890708,0.7158715478,0.3190480397,0.689274363,0.3315110374,24.39730303,54.74202286,0.3647354165,0,26,158,2797.285067,0.9913536324,0.5270580615,-0.1529445756
17,0,static,33964,38596,500,500,500,17081,0.502914851,0.497085149,20727,0.5370245621,0.6905333411,0.3472794724,0.7282329851,0.3662391832,0.7032855695,0.377681625,44.78839359,89.05760787,0.3452959429,0,37,270,2776.893976,0.9841270605,0.4805676599,-0.1373137911
17,0,static,33964,38596,1000,1000,1000,18821,0.5541455659,0.4458544341,22620,0.5860710955,0.7044259072,0.390354493,0.7395966006,0.4098441767,0.7155172414,0.4193439735,81.88673301,147.7711599,0.3284628872,0,49,473,2739.795637,0.9709794646,0.4374926393,-0.123421225
17,0,static,33964,38596,2000,2000,2000,20346,0.5990460488,0.4009539512,24294,0.6294434656,0.7181755628,0.4302202332,0.7513121802,0.450070593,0.7279163579,0.458182195,145.661259,243.1553622,0.3184901209,0,61,821,2676.021111,0.9483778683,0.3976268991,-0.1096715695
17,0,static,33964,38596,3000,3000,3000,20656,0.60817336,0.39182664,24626,0.6380453933,0.7205170411,0.4381992698,0.7532370394,0.4580987011,0.7299602047,0.4657477459,166.3205158,273.4755035,0.3175832688,0,64,918,2655.361854,0.9410562586,0.3896478624,-0.1073300912
17,0,static,33964,38596,4000,4000,4000,20912,0.6157107526,0.3842892474,24915,0.6455332159,0.7232689365,0.4453244612,0.7556362034,0.4652533355,0.7325306041,0.4728728366,194.5491992,315.9749904,0.3162777353,0,66,1000,2627.13317,0.9310520556,0.3825226711,-0.1045781958
17,0,static,33964,38596,5000,5000,5000,21590,0.6356730656,0.3643269344,25657,0.664758006,0.7308476146,0.4645801437,0.762267915,0.4845531824,0.7392914214,0.4914498912,284.3048522,447.2501158,0.3130152849,0,73,1287,2537.377517,0.8992427868,0.3632669886,-0.09699951762
17,0,static,33964,38596,inf,inf,1000000000000,33964,1,0,38596,1,0.8278471323,0.8278471323,0.8478496139,0.8478496139,0.825759146,0.825759146,2821.68237,2821.68237,0.2616005182,0.2212048051,479,7128,0,0,0,0
17,0,top1,33964,38596,1,1,1,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,10,10,10,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,50,50,50,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,100,100,100,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,250,250,250,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,500,500,500,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,1000,1000,1000,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,2000,2000,2000,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,3000,3000,3000,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,4000,4000,4000,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,5000,5000,5000,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,top1,33964,38596,inf,inf,1000000000000,33964,1,0,38596,1,0.2262101048,0.2262101048,0.2421586559,0.2421586559,0.2302052026,0.2302052026,1,1,0.2616005182,0,1,1,0,0,0,0
17,0,weighted,33964,38596,1,1,1,457,0.01345542339,0.9865445766,633,0.01640066328,0.4682713348,0.006300789071,0.5468636032,0.007358281317,0.4723538705,0.007746916779,0.01345542339,1,0.6542669584,0,1,1,3888.380108,0.9999965396,0.8927099282,-0.4307393824
17,0,weighted,33964,38596,10,10,10,2741,0.0807030974,0.9192969026,3567,0.09241890351,0.6541408245,0.05279119067,0.710091613,0.0573065926,0.6574151948,0.06075759146,0.3460428689,4.287851149,0.6413717621,0,4,8,3888.047521,0.9999110062,0.8462195266,-0.2448698927
17,0,weighted,33964,38596,50,50,50,5787,0.1703862914,0.8296137086,7385,0.1913410716,0.6991532746,0.1191261336,0.7475973103,0.1273803331,0.7142857143,0.136672194,2.822930161,16.56782443,0.5140832901,0,12,41,3885.570634,0.9992740112,0.7798845837,-0.1998574426
