seed,deletion_rate,adaptive_minus_static_coverage,adaptive_minus_rolling_coverage,adaptive_to_rolling_size_ratio,adaptive_minus_static_size,adaptive_minus_frequency_mrr
17,0.0,0.07257228728365639,-0.0004145507306456686,0.9972224715141088,1024.8725256503262,0.22698484555600532
17,0.1,0.07744325836874288,-0.0007254637786299201,0.9956737462024742,1090.0717172764016,0.22395065654908103
17,0.2,0.07850554461602233,-0.0008291014612913372,0.9966322749733448,1109.7208778111722,0.2227343757552429
17,0.3,0.07638097212146344,-0.001347289874598312,0.9954889103550882,1131.1577106435898,0.21907046948949052
29,0.0,0.07394548657892008,-0.0006218260959685029,0.9970703530579882,1027.5490206238987,0.2269307152720683
29,0.1,0.075551870660172,-0.0012177427712716238,0.995021633958479,1011.1991138978133,0.22616075477206277
29,0.2,0.07184682350502647,-0.001347289874598423,0.9948912129914894,1012.9612395066847,0.22192423870390834
29,0.3,0.06710539952326666,-0.0005440978339724678,0.9972561074614799,912.3393875012953,0.21660930105573448
43,0.0,0.0916675303140222,-0.0010622862472794425,0.9944981394224118,1163.430225930148,0.22372415057889875
43,0.1,0.07938646491864432,-0.0009068297232874833,0.9954384070947566,1095.2726448336612,0.22714003143882466
43,0.2,0.08824748678619543,-0.0008550108819567193,0.99595778122421,1161.8604518602965,0.22482809497461426
43,0.3,0.07446367499222717,-0.0007254637786299201,0.9965033513492032,992.6602756762359,0.22001224535555514
59,0.0,0.07920509897398686,-0.0009327391439527544,0.9952347527606913,1054.8786143641828,0.22702713091190166
59,0.1,0.07915328013265632,-0.0012436521919368948,0.994479155364582,1003.417089853871,0.22560298411431243
59,0.2,0.08169240335786088,-0.000647735516633885,0.9970299481652266,1070.2688620582444,0.22088225092204272
59,0.3,0.08039693232459322,-0.0007772826199605731,0.9961381577206158,1102.2912477976993,0.2178075846167355
71,0.0,0.08122603378588455,-0.0005440978339724678,0.9966852523841329,1019.8688206031716,0.22372107327882132
71,0.1,0.07627733443880202,-0.0012177427712716238,0.9942993069808419,999.0055964348635,0.2212381085865756
71,0.2,0.08008601927660908,-0.0008291014612912262,0.9949686527185015,1052.1366203751681,0.21985710651210705
71,0.3,0.07866100114001451,-0.0010881956679449356,0.9946229487921937,1055.3006270079804,0.21639451118969547
