seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
29,0.1,margin_rolling,73,38596,33964,0.8990309877,0.9004534213,0.9003780316,0.9161645243,0.007926236048,0.007274131907,0.5205479452,0.4931506849,3895.820133,4996.637204,7128,0.3204275115,1000,2.424657534
29,0.1,rank_rolling,73,38596,33964,0.8985387087,0.887410199,0.8899305231,0.892319669,0.01012913196,0.01704004404,0.4657534247,0.6301369863,3328.671652,3328.671652,3328.671652,0,1000,2.424657534
29,0.1,adaptive_mass_rolling,73,38596,33964,0.8981759768,0.8871746555,0.8898892975,0.8934764961,0.01032636268,0.01708100043,0.5205479452,0.6164383562,2954.300053,2570.381993,4406.023313,0,1000,2.424657534
29,0.1,aps_rolling,73,38596,33964,0.8972691471,0.9039571311,0.9032831615,0.9153971385,0.01019714247,0.006768526278,0.5342465753,0.4109589041,4815.878136,6854.716347,7127,0,1000,2.424657534
43,0.1,margin_rolling,73,38596,33964,0.8986682558,0.8990107172,0.8991997919,0.914882997,0.008262634729,0.00819925709,0.5205479452,0.4794520548,3869.061536,4876.771611,7128,0.3138028501,1000,2.424657534
43,0.1,rank_rolling,73,38596,33964,0.8987978029,0.8877929572,0.889886366,0.892427346,0.01017285281,0.01650275715,0.4794520548,0.6164383562,3501.652779,3501.652779,3501.652779,0,1000,2.424657534
43,0.1,adaptive_mass_rolling,73,38596,33964,0.8985387087,0.8872040985,0.8882154431,0.8932738306,0.01025641354,0.01711379165,0.4794520548,0.6575342466,3101.657108,2744.652986,4458.47061,0,1000,2.424657534
43,0.1,aps_rolling,73,38596,33964,0.8956886724,0.9012189377,0.9008711309,0.9137080017,0.01064188238,0.00723340508,0.5616438356,0.4246575342,4751.913143,6776.528766,7126.975604,0,1000,2.424657534
59,0.1,margin_rolling,73,38596,33964,0.8976577884,0.8942998469,0.8942743194,0.9107509396,0.009603012098,0.01195652146,0.5890410959,0.5753424658,3610.121423,3561.256949,7128,0.2785890943,1000,2.424657534
59,0.1,rank_rolling,73,38596,33964,0.8981241579,0.8864974679,0.8884801518,0.8915029078,0.01145480869,0.01891653163,0.4931506849,0.6301369863,3411.334148,3411.334148,3411.334148,0,1000,2.424657534
59,0.1,adaptive_mass_rolling,73,38596,33964,0.8991605348,0.8877340714,0.8894914089,0.8943495494,0.01084580212,0.01780874728,0.4931506849,0.6849315068,3026.11839,2650.662908,4441.276758,0,1000,2.424657534
