deletion_rate,method,seed_count,coverage_mean,coverage_sd,macro_time_coverage_mean,macro_time_coverage_sd,positive_undercoverage_mean,positive_undercoverage_sd,fraction_timestamps_below_target_mean,fraction_timestamps_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd
0.1,time_window_14,5,0.8873302933,0.0005594875283,0.8878471281,0.000631141291,0.01525678553,0.0007071918635,0.7397260274,0.02165943603,3356.651508,122.1355653,2141.934599,618.2077312,7128,0
0.1,time_window_30,5,0.8751995025,0.0006629470963,0.8749780728,0.0007867014218,0.02618952946,0.0008510490507,0.901369863,0.02450485455,3161.689812,116.1097982,1317.004032,296.7262908,7128,0
0.2,static,5,0.8173696756,0.006301195609,0.8133458395,0.006662639306,0.08671078703,0.006657452325,0.9945205479,0.007503048733,2586.541569,142.8419139,553.4269147,194.8675827,7127.995145,0.01085706133
0.2,expanding,5,0.855814074,0.003272442911,0.8538054164,0.003890171308,0.04641034072,0.003793374473,0.9753424658,0.01146109625,3020.878132,134.2912921,1096.041942,407.5681649,7128,0
0.2,rolling_count_250,5,0.9109804125,0.001983585718,0.9100874716,0.001676166579,0.006305799234,0.000850196421,0.3534246575,0.02969792245,3924.25428,123.4705728,4960.542181,487.7123928,7128,0
0.2,rolling_count_500,5,0.8995336304,0.000991962058,0.8997831475,0.0009019060148,0.009154558457,0.001144380006,0.504109589,0.03801215596,3707.188372,105.2391743,4040.637776,551.6171921,7128,0
0.2,rolling_count_1000,5,0.898346979,0.000939301371,0.8985765058,0.001048608625,0.00847099812,0.000717998465,0.5397260274,0.05530583353,3683.067924,105.6290119,4001.300912,633.9850131,7128,0
0.2,rolling_count_2000,5,0.8959944036,0.0005621209887,0.8968887365,0.0008432728268,0.009305291577,0.000477476046,0.5589041096,0.03675728182,3631.591611,100.2483122,3678.434672,625.3301166,7128,0
0.2,weighted_count_250,5,0.9073427298,0.001736453162,0.9063133658,0.001478738221,0.007857525012,0.0008817053331,0.3917808219,0.03001219493,3855.672707,121.0111531,4710.659296,519.0222554,7128,0
0.2,weighted_count_500,5,0.8977303347,0.0009803557824,0.8979225764,0.0009969366666,0.01015749787,0.001147018096,0.5232876712,0.04685652432,3676.644284,109.8649749,3904.548668,568.5786223,7128,0
0.2,weighted_count_1000,5,0.8973935123,0.0006821611456,0.8976171564,0.0008397046792,0.009106748505,0.0006858442825,0.5671232877,0.04396385352,3666.110089,104.424087,3914.310011,644.1229728,7128,0
0.2,weighted_count_2000,5,0.8954762152,0.000526350375,0.8963503344,0.0007544624357,0.009694715887,0.0004059119968,0.5726027397,0.02634984118,3623.389465,101.4845382,3634.765929,637.537014,7128,0
0.2,time_window_3,5,0.8955383978,0.0005015330401,0.8962866722,0.0007511437627,0.009987994834,0.0006068828176,0.5698630137,0.04063670404,3627.806089,95.13488642,3703.747777,597.2861683,7128,0
0.2,time_window_7,5,0.8926572702,0.0005093689308,0.89336685,0.0006607419485,0.0115296493,0.0006681335675,0.6520547945,0.0480429532,3574.682501,104.1051051,3355.144668,703.4285413,7128,0
0.2,time_window_14,5,0.8869934708,0.0007821470064,0.8876394217,0.001007714158,0.01566100618,0.0008463846351,0.7561643836,0.0327050312,3477.404472,109.4298793,2736.835537,737.5146354,7128,0
0.2,time_window_30,5,0.8741268525,0.001853329674,0.8739429486,0.00223674246,0.02702474582,0.002037050356,0.9150684932,0.01500609747,3284.438678,126.2307418,1818.367613,660.1899077,7128,0
