deletion_rate,method,seed_count,observed_label_coverage_mean,full_set_coverage_mean,partial_answer_recall_mean,mean_size_mean,median_size_mean,p90_size_mean,full_vocabulary_set_rate_mean,positive_label_undercoverage_mean,positive_full_set_undercoverage_mean
0.3,margin_rolling,5,0.8997823609,0.9019785655,0.9174103677,4069.435473,5746.219426,7128,0.3647096926,0.008501638659,0.007258464284
0.3,rank_rolling,5,0.8991812623,0.8880520551,0.8925682796,3668.160876,3668.160876,3668.160876,0,0.009951104667,0.01682894809
0.3,aps_rolling,5,0.8978547,0.9045401013,0.9166536206,4911.812466,6906.063744,7126.940292,0,0.01006389629,0.006718241352
0.3,adaptive_mass_rolling,5,0.8987097109,0.887439642,0.8933689312,3318.965316,2924.649393,4646.492393,0,0.01043438525,0.01762437005
