seed,deletion_rate,history_mode,baseline,query_count,mrr,hits_at_1,hits_at_3,hits_at_10
43,0.2,train_only,frequency,38596,0.09179766623,0.04373510208,0.08459425847,0.1831018758
43,0.2,train_only,relation_frequency,38596,0.1416732529,0.07358275469,0.1555860711,0.2769976163
43,0.2,train_only,repeat,38596,0.2820887009,0.2132086227,0.3118457871,0.4088506581
43,0.2,prequential,frequency,38596,0.09368829608,0.04373510208,0.09560576226,0.1935174629
43,0.2,prequential,relation_frequency,38596,0.1531098493,0.08117421494,0.1679707742,0.299953363
43,0.2,prequential,repeat,38596,0.3633532439,0.2817131309,0.4051715204,0.5136801741
43,0.3,train_only,frequency,38596,0.09191666194,0.04373510208,0.08459425847,0.1899419629
43,0.3,train_only,relation_frequency,38596,0.1394908677,0.0708363561,0.1530469479,0.2759612395
43,0.3,train_only,repeat,38596,0.2757031124,0.2075344595,0.3038397761,0.4036946834
43,0.3,prequential,frequency,38596,0.09382891516,0.04373510208,0.0959166753,0.1935174629
43,0.3,prequential,relation_frequency,38596,0.1532874376,0.08127785263,0.1683075966,0.2998497254
43,0.3,prequential,repeat,38596,0.3624587176,0.2816094932,0.4041092341,0.5114001451
59,0,train_only,frequency,38596,0.09261339151,0.04373510208,0.09529484921,0.1831018758
59,0,train_only,relation_frequency,38596,0.1419074947,0.07345320759,0.1568038139,0.2788371852
59,0,train_only,repeat,38596,0.2908521258,0.2215773655,0.3205772619,0.4203544409
59,0,prequential,frequency,38596,0.09358460908,0.04373510208,0.09547621515,0.1936211006
59,0,prequential,relation_frequency,38596,0.1523348774,0.07998238159,0.1672453104,0.2994869935
59,0,prequential,repeat,38596,0.3661224637,0.284614986,0.4070888175,0.5178515908
59,0.1,train_only,frequency,38596,0.09179366356,0.04373510208,0.08459425847,0.1831018758
59,0.1,train_only,relation_frequency,38596,0.1415984936,0.0733495699,0.1551456109,0.2786299098
59,0.1,train_only,repeat,38596,0.2875749226,0.2185200539,0.3167685771,0.4156389263
59,0.1,prequential,frequency,38596,0.09373841931,0.04373510208,0.09555394341,0.1936211006
59,0.1,prequential,relation_frequency,38596,0.1526462419,0.08052647943,0.1671416727,0.2993315369
59,0.1,prequential,repeat,38596,0.3653900126,0.2842781635,0.4066483573,0.5165561198
59,0.2,train_only,frequency,38596,0.09266353402,0.04373510208,0.09529484921,0.1827909628
59,0.2,train_only,relation_frequency,38596,0.1414101373,0.07394548658,0.1539278682,0.2783189968
59,0.2,train_only,repeat,38596,0.2823364936,0.2138563582,0.311405327,0.4085138356
59,0.2,prequential,frequency,38596,0.09381962396,0.04373510208,0.09555394341,0.1936211006
59,0.2,prequential,relation_frequency,38596,0.1525779343,0.08052647943,0.1669603068,0.29964245
59,0.2,prequential,repeat,38596,0.3637661749,0.2825940512,0.405948803,0.5139651777
59,0.3,train_only,frequency,38596,0.09267181306,0.04373510208,0.09529484921,0.1827650534
59,0.3,train_only,relation_frequency,38596,0.14058152,0.07337547932,0.152684216,0.2764535185
59,0.3,train_only,repeat,38596,0.2779081299,0.2104881335,0.306171624,0.403668774
59,0.3,prequential,frequency,38596,0.09396249637,0.04373510208,0.09555394341,0.1936211006
59,0.3,prequential,relation_frequency,38596,0.1531514194,0.08130376205,0.1671157633,0.2995906312
59,0.3,prequential,repeat,38596,0.3632844122,0.2830086019,0.4042906001,0.5114260545
71,0,train_only,frequency,38596,0.09261339151,0.04373510208,0.09529484921,0.1831018758
71,0,train_only,relation_frequency,38596,0.1419074947,0.07345320759,0.1568038139,0.2788371852
71,0,train_only,repeat,38596,0.2908521258,0.2215773655,0.3205772619,0.4203544409
71,0,prequential,frequency,38596,0.09358460908,0.04373510208,0.09547621515,0.1936211006
71,0,prequential,relation_frequency,38596,0.1523348774,0.07998238159,0.1672453104,0.2994869935
71,0,prequential,repeat,38596,0.3661224637,0.284614986,0.4070888175,0.5178515908
71,0.1,train_only,frequency,38596,0.09277216064,0.04373510208,0.09529484921,0.1827909628
71,0.1,train_only,relation_frequency,38596,0.1408944283,0.07293501917,0.1535910457,0.2764276091
71,0.1,train_only,repeat,38596,0.285714624,0.2167323039,0.3135558089,0.4139029951
71,0.1,prequential,frequency,38596,0.09369647798,0.04373510208,0.09552803399,0.1935951912
71,0.1,prequential,relation_frequency,38596,0.1528629629,0.08094103016,0.1674784952,0.2995647217
71,0.1,prequential,repeat,38596,0.3647471667,0.2832936056,0.4058451653,0.5158824749
71,0.2,train_only,frequency,38596,0.09272035791,0.04373510208,0.09529484921,0.1831018758
71,0.2,train_only,relation_frequency,38596,0.1401100465,0.07192455177,0.153668774,0.2758576018
71,0.2,train_only,repeat,38596,0.2810614098,0.2130531661,0.3085552907,0.407244274
71,0.2,prequential,frequency,38596,0.09379126685,0.04373510208,0.09557985283,0.1935951912
71,0.2,prequential,relation_frequency,38596,0.1526550923,0.08052647943,0.167038035,0.2995647217
71,0.2,prequential,repeat,38596,0.3635974193,0.2824126853,0.4040574153,0.5131101669
71,0.3,train_only,frequency,38596,0.09270410538,0.04373510208,0.09529484921,0.1831018758
71,0.3,train_only,relation_frequency,38596,0.1400237161,0.07205409887,0.1540055964,0.2759353301
71,0.3,train_only,repeat,38596,0.2776901074,0.2103067675,0.3052907037,0.4018551145
71,0.3,prequential,frequency,38596,0.09389554592,0.04373510208,0.09529484921,0.1935951912
71,0.3,prequential,relation_frequency,38596,0.1531068532,0.0808633019,0.1674266763,0.2996942688
71,0.3,prequential,repeat,38596,0.362847211,0.2820499534,0.4037465022,0.5115556016
