seed,deletion_rate,extra_delay_blocks,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size,pool_score_count_mean,pool_span_blocks_mean
29,0.1,0,static,38596,0.8222613742,0.8178744058,0.08224634205,0.9863013699,2609.836512,550.5645663,7127.994051,31419.61644,58
29,0.1,0,rolling,38596,0.8990309877,0.8991757341,0.007926236048,0.5205479452,3639.152529,3819.80669,7128,1000,2.424657534
43,0.1,0,static,38596,0.8183749611,0.8144205925,0.08557940755,1,2499.341149,427.4789616,7127.983003,31419.61644,58
43,0.1,0,rolling,38596,0.8986682558,0.899049369,0.008262634729,0.5205479452,3611.085916,3595.265157,7128,1000,2.424657534
59,0.1,0,static,38596,0.817260856,0.8125378826,0.08761133965,0.9726027397,2343.599181,321.5158307,7127.936999,31419.61644,58
59,0.1,0,rolling,38596,0.8976577884,0.8976409458,0.009603012098,0.5890410959,3365.597575,2152.528811,7128,1000,2.424657534
71,0.1,0,static,38596,0.8211731786,0.816442048,0.08361624407,0.9863013699,2498.662271,463.9477666,7127.989481,31419.61644,58
71,0.1,0,rolling,38596,0.8986682558,0.8989569673,0.00767182444,0.5753424658,3517.721733,3085.757125,7128,1000,2.424657534
17,0.1,1,static,38596,0.8197481604,0.8157333042,0.08426669583,1,2544.770857,492.841823,7127.994051,30895.75342,58
17,0.1,1,rolling,38596,0.8962068608,0.8969339312,0.00915837954,0.5205479452,3608.506089,3660.766401,7128,1000,3.424657534
29,0.1,1,static,38596,0.8222613742,0.8178744058,0.08224634205,0.9863013699,2609.836512,550.5645663,7127.994051,30895.75342,58
29,0.1,1,rolling,38596,0.8967250492,0.8973754941,0.00867965555,0.5068493151,3596.649601,3586.85812,7128,1000,3.424657534
43,0.1,1,static,38596,0.8183749611,0.8144205925,0.08557940755,1,2499.341149,427.4789616,7127.983003,30895.75342,58
43,0.1,1,rolling,38596,0.8967509586,0.8978054543,0.008927099523,0.5205479452,3572.811379,3423.400715,7128,1000,3.424657534
59,0.1,1,static,38596,0.817260856,0.8125378826,0.08761133965,0.9726027397,2343.599181,321.5158307,7127.936999,30895.75342,58
59,0.1,1,rolling,38596,0.8967768681,0.897069527,0.009700899465,0.5479452055,3338.943647,2036.159032,7128,1000,3.424657534
71,0.1,1,static,38596,0.8211731786,0.816442048,0.08361624407,0.9863013699,2498.662271,463.9477666,7127.989481,30895.75342,58
71,0.1,1,rolling,38596,0.8970618717,0.8978405664,0.008792311779,0.5205479452,3481.831692,2882.890144,7128,1000,3.424657534
17,0.1,3,static,38596,0.8197481604,0.8157333042,0.08426669583,1,2544.770857,492.841823,7127.994051,29867.09589,58
17,0.1,3,rolling,38596,0.8925277231,0.8934238014,0.01276970171,0.6849315068,3554.445279,3253.385869,7128,1000,5.342465753
29,0.1,3,static,38596,0.8222613742,0.8178744058,0.08224634205,0.9863013699,2609.836512,550.5645663,7127.994051,29867.09589,58
29,0.1,3,rolling,38596,0.892890455,0.8941182461,0.01178819744,0.602739726,3525.612058,3110.971759,7128,1000,5.342465753
43,0.1,3,static,38596,0.8183749611,0.8144205925,0.08557940755,1,2499.341149,427.4789616,7127.983003,29867.09589,58
43,0.1,3,rolling,38596,0.89221681,0.8941886212,0.0122923161,0.5753424658,3492.783941,2928.857161,7128,1000,5.342465753
59,0.1,3,static,38596,0.817260856,0.8125378826,0.08761133965,0.9726027397,2343.599181,321.5158307,7127.936999,29867.09589,58
59,0.1,3,rolling,38596,0.893693647,0.8945595425,0.01243462148,0.6301369863,3278.275728,1889.640274,7128,1000,5.342465753
71,0.1,3,static,38596,0.8211731786,0.816442048,0.08361624407,0.9863013699,2498.662271,463.9477666,7127.989481,29867.09589,58
71,0.1,3,rolling,38596,0.893382734,0.894006204,0.01163473181,0.5753424658,3428.329671,2552.584283,7128,1000,5.342465753
17,0.1,7,static,38596,0.8197481604,0.8157333042,0.08426669583,1,2544.770857,492.841823,7127.994051,27862.76712,58
17,0.1,7,rolling,38596,0.8866981034,0.8870760457,0.01713702678,0.7534246575,3464.045264,2717.253161,7128,1000,9.02739726
29,0.1,7,static,38596,0.8222613742,0.8178744058,0.08224634205,0.9863013699,2609.836512,550.5645663,7127.994051,27862.76712,58
29,0.1,7,rolling,38596,0.8876826614,0.8876508219,0.01657183961,0.698630137,3443.353145,2608.299979,7128,1000,9.02739726
