deletion_rate,method,seed_count,coverage,coverage_sd,mean_size,mean_size_sd,median_size,median_size_sd,p90_size,p90_size_sd,mrr,mrr_sd,frequency_mrr,frequency_mrr_sd,hits_at_1,hits_at_1_sd,hits_at_3,hits_at_3_sd,hits_at_10,hits_at_10_sd
0.0,adaptive,5,0.8979272463467718,0.0007539596895581538,3495.6056223442843,185.87543203672922,3023.6618095139393,889.7335986970717,7128.0,0.0,0.3182909746254591,0.0017849638624512004,0.09261339150592005,0.0,0.23592600269457975,0.0026424687757025758,0.35171002176391336,0.00249515926867542,0.4814954917608042,0.002574854188092211
0.0,rolling,5,0.8986423463571354,0.0005614039973059754,3508.986112550523,182.9186457449866,3088.589900507825,884.965130664782,7128.0,0.0,0.3182909746254591,0.0017849638624512004,0.09261339150592005,0.0,0.23592600269457975,0.0026424687757025758,0.35171002176391336,0.00249515926867542,0.4814954917608042,0.002574854188092211
0.0,static,5,0.8182039589594776,0.00823835245010942,2437.485780909939,240.4262787333636,424.1476007876464,151.82218982215804,7127.636151932844,0.7872252252077168,0.3182909746254591,0.0017849638624512004,0.09261339150592005,0.0,0.23592600269457975,0.0026424687757025758,0.35171002176391336,0.00249515926867542,0.4814954917608042,0.002574854188092211
0.0,top1,5,0.22778526272152555,0.002427036543913041,1.0,0.0,1.0,0.0,1.0,0.0,0.3182909746254591,0.0017849638624512004,0.09261339150592005,0.0,0.23592600269457975,0.0026424687757025758,0.35171002176391336,0.00249515926867542,0.4814954917608042,0.002574854188092211
0.0,weighted,5,0.8977251528655821,0.0008531638220717148,3491.7658202922585,186.6563631164013,3008.050502642761,891.701750819183,7128.0,0.0,0.3182909746254591,0.0017849638624512004,0.09261339150592005,0.0,0.23592600269457975,0.0026424687757025758,0.35171002176391336,0.00249515926867542,0.4814954917608042,0.002574854188092211
0.1,adaptive,5,0.8973261477873354,0.0005683560817989734,3539.0352730852937,119.97338075906075,3212.2285159083845,713.8415737076942,7128.0,0.0,0.31733990151236924,0.0022462264010561224,0.09252139442019792,0.00040996349093266285,0.23545445123847034,0.0032391231945487304,0.35,0.001635949627039754,0.47868172867654674,0.0025966617352369756
0.1,rolling,5,0.8983884340346149,0.0005756907691704923,3556.838734583895,118.97439684484276,3316.214576640066,726.7593164573408,7128.0,0.0,0.31733990151236924,0.0022462264010561224,0.09252139442019792,0.00040996349093266285,0.23545445123847034,0.0032391231945487304,0.35,0.001635949627039754,0.47868172867654674,0.0025966617352369756
0.1,static,5,0.8197637060835319,0.0020259609684640714,2499.2420406259716,98.14393835644874,451.26978961550424,85.3676037748588,7127.979517048398,0.0241956998406992,0.31733990151236924,0.0022462264010561224,0.09252139442019792,0.00040996349093266285,0.23545445123847034,0.0032391231945487304,0.35,0.001635949627039754,0.47868172867654674,0.0025966617352369756
0.1,top1,5,0.22713752720489172,0.002747473865416849,1.0,0.0,1.0,0.0,1.0,0.0,0.31733990151236924,0.0022462264010561224,0.09252139442019792,0.00040996349093266285,0.23545445123847034,0.0032391231945487304,0.35,0.001635949627039754,0.47868172867654674,0.0025966617352369756
0.1,weighted,5,0.897284692714271,0.0005427389770038576,3538.658358379106,119.94810985851521,3211.6958285832725,713.6093104972865,7128.0,0.0,0.31733990151236924,0.0022462264010561224,0.09252139442019792,0.00040996349093266285,0.23545445123847034,0.0032391231945487304,0.35,0.001635949627039754,0.47868172867654674,0.0025966617352369756
