seed,deletion_rate,method,query_count,label_count,multi_answer_query_count,multi_answer_query_fraction,mean_answer_count,max_answer_count,full_set_coverage,partial_answer_recall,label_weighted_partial_recall,mean_size,median_size,p90_size,singleton_rate,multi_answer_full_set_coverage,multi_answer_partial_recall,multi_answer_mean_answer_count,full_vocabulary_set_rate,normalized_mean_size,normalized_p90_size
29,0,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2257390178,0.2418985766,0.2301533838,1,1,1,1,0,0.1595938511,2.34690317,0,0.000140291807,0.000140291807
29,0.1,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8256094688,0.8448296446,0.8222613742,2819.987634,463.5,7128,0.03662701684,0.5033439953,0.6931648874,2.34690317,0.2198504299,0.3956211608,1
29,0.1,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9004534213,0.9161645243,0.8990309877,3895.820074,5572.5,7128,0.01121775998,0.649607444,0.8047722898,2.34690317,0.3204275115,0.5465516378,1
29,0.1,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.899128489,0.9149671781,0.8977614261,3877.213491,5460,7128,0.01171828995,0.6464088398,0.8028337418,2.34690317,0.3186020492,0.5439412866,1
29,0.1,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8991873749,0.915026064,0.8978132449,3877.012808,5460,7128,0.01168884701,0.6464088398,0.8028337418,2.34690317,0.318719821,0.5439131324,1
29,0.1,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2245318573,0.2408032992,0.2293242823,1,1,1,1,0,0.1606988235,2.34690317,0,0.000140291807,0.000140291807
29,0.2,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8310858556,0.8499386489,0.8264068815,3029.187198,724.5,7128,0.03471322577,0.5062518174,0.6924443937,2.34690317,0.2525320928,0.4249701457,1
29,0.2,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9032799435,0.9179024433,0.8996009949,4108.187257,6546,7128,0.00918619715,0.6557138703,0.8001275328,2.34690317,0.3727770581,0.5763450136,1
29,0.2,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.9018961253,0.9166771263,0.8982277956,4087.274879,6486,7128,0.009362854787,0.6519337017,0.7979127417,2.34690317,0.3700388647,0.5734111784,1
29,0.2,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.9019255682,0.9167065693,0.898253705,4087.925686,6488.5,7128,0.009362854787,0.6519337017,0.7979127417,2.34690317,0.3700683076,0.5735024812,1
29,0.2,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.221734778,0.2377535014,0.2263965178,1,1,1,1,0,0.1582029429,2.34690317,0,0.000140291807,0.000140291807
29,0.3,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8368861147,0.8560259182,0.8326510519,3153.88055,1012,7128,0.02652808856,0.5120674615,0.7010945873,2.34690317,0.2859498292,0.4424636013,1
29,0.3,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9037510305,0.918234062,0.9003005493,4116.35626,6647.5,7128,0.008891767754,0.6606571678,0.8036934227,2.34690317,0.4054292781,0.5774910577,1
29,0.3,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.9031327288,0.9176540361,0.8995750855,4101.873601,6601.5,7128,0.009009539512,0.6589124746,0.8023267463,2.34690317,0.4030444,0.5754592595,1
29,0.3,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.9032505005,0.9177826036,0.8997564514,4105.406784,6610,7128,0.009009539512,0.6592032568,0.8027241487,2.34690317,0.4035449299,0.575954936,1
29,0.3,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2181132964,0.2336138241,0.2222769199,1,1,1,1,0,0.1530851761,2.34690317,0,0.000140291807,0.000140291807
43,0,static,33964,38596,3439,0.1012542692,1.136379696,17,0.7961076434,0.8164216099,0.8049279718,2222.186344,178,7128,0.02467318337,0.5196277988,0.7202511071,2.34690317,0.1589624308,0.3117545376,1
43,0,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.891797197,0.9070160188,0.8976577884,3466.840596,1991,7128,0.009598398304,0.6836289619,0.8339319754,2.34690317,0.2367212342,0.4863693316,1
43,0,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8903250501,0.9056297471,0.8962068608,3441.576169,1911,7128,0.009716170062,0.6807211399,0.8318722681,2.34690317,0.2349252149,0.4828249395,1
43,0,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8907666941,0.9060223196,0.8965955021,3448.39692,1928,7128,0.009686727123,0.6815934865,0.8322599778,2.34690317,0.235396302,0.4837818351,1
43,0,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2197032152,0.2357192747,0.2245569489,1,1,1,1,0,0.158176634,2.34690317,0,0.000140291807,0.000140291807
