deletion_rate,method,seed_count,observed_label_coverage_mean,full_set_coverage_mean,partial_answer_recall_mean,mean_size_mean,median_size_mean,p90_size_mean,full_vocabulary_set_rate_mean,positive_label_undercoverage_mean,positive_full_set_undercoverage_mean
0.3,margin_rolling,5,0.8997823609,0.9019785655,0.9174103677,4069.435473,5746.219426,7128,0.3647096926,0.008501638659,0.007258464284
0.3,rank_rolling,5,0.8991812623,0.8880520551,0.8925682796,3668.160876,3668.160876,3668.160876,0,0.009951104667,0.01682894809
