target_coverage,selection_tolerance,seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
0.88,0,43,0.1,adaptive_mass_rolling,73,38596,33964,0.8785107265,0.8651807796,0.8672885735,0.8715056839,0.01155379935,0.01981686044,0.5068493151,0.6164383562,2681.135526,2645.4831,2816.721423,0,1000,2.424657534
0.88,0,59,0.1,margin_rolling,73,38596,33964,0.8779148098,0.8743669768,0.8746529392,0.8925050977,0.01053957378,0.0127874116,0.5342465753,0.5890410959,3263.116005,1786.083647,7128,0.2459663173,1000,2.424657534
0.88,0,59,0.1,rank_rolling,73,38596,33964,0.8797025599,0.8663879402,0.8689632609,0.8728885907,0.0111122403,0.01928491436,0.4794520548,0.6575342466,2639.090007,2639.090007,2639.090007,0,1000,2.424657534
0.88,0,59,0.1,adaptive_mass_rolling,73,38596,33964,0.8797543787,0.8663879402,0.869082494,0.8730142139,0.01079939442,0.01902938759,0.4657534247,0.6575342466,2610.156283,2572.817042,2751.470893,0,1000,2.424657534
0.88,0,71,0.1,margin_rolling,73,38596,33964,0.8805575707,0.8812860676,0.8813797228,0.8977566727,0.00789893066,0.007966398368,0.5068493151,0.5068493151,3428.368684,2619.938258,7128,0.2703156283,1000,2.424657534
0.88,0,71,0.1,rank_rolling,73,38596,33964,0.8784848171,0.8652985514,0.8685151648,0.8718239948,0.01042162126,0.01869618784,0.5068493151,0.6438356164,2703.785184,2703.785184,2703.785184,0,1000,2.424657534
0.88,0,71,0.1,adaptive_mass_rolling,73,38596,33964,0.879158462,0.8657401955,0.8693191976,0.8727784367,0.009546229826,0.01794157502,0.4520547945,0.6301369863,2610.378165,2481.086768,3104.215193,0,1000,2.424657534
0.88,0,17,0.2,margin_rolling,73,38596,33964,0.8784329982,0.8805205512,0.8808971217,0.8975944768,0.008332818558,0.007752899062,0.4657534247,0.4794520548,3632.057178,3795.254829,7128,0.2968731598,1000,2.424657534
0.88,0,17,0.2,rank_rolling,73,38596,33964,0.8781220852,0.8648569073,0.8681622196,0.8711198412,0.01115847847,0.01975777902,0.5205479452,0.6438356164,2662.416941,2662.416941,2662.416941,0,1000,2.424657534
0.88,0,17,0.2,adaptive_mass_rolling,73,38596,33964,0.8785884548,0.865504652,0.8687007768,0.8736687819,0.01037393658,0.01877396801,0.4931506849,0.6575342466,2340.733512,1861.19132,4076.176098,0,1000,2.424657534
0.88,0,29,0.2,margin_rolling,73,38596,33964,0.8794693751,0.8834942881,0.8831448114,0.8995290676,0.01022921786,0.008080041992,0.5068493151,0.4520547945,3771.430603,4484.705865,7128,0.331851372,1000,2.424657534
0.88,0,29,0.2,rank_rolling,73,38596,33964,0.8790807338,0.8658579673,0.8678602415,0.8718082451,0.01067899907,0.01921452042,0.4931506849,0.6438356164,2660.421917,2660.421917,2660.421917,0,1000,2.424657534
0.88,0,29,0.2,adaptive_mass_rolling,73,38596,33964,0.8790807338,0.8657990814,0.8674983434,0.8719211097,0.01063347845,0.01927198021,0.4794520548,0.6712328767,2640.514545,2601.169562,2790.99112,0,1000,2.424657534
0.88,0,43,0.2,margin_rolling,73,38596,33964,0.8780702663,0.8779590154,0.8778288214,0.8960453658,0.008810274205,0.009121203849,0.4657534247,0.4931506849,3500.410817,2981.141179,7128,0.2737015664,1000,2.424657534
0.88,0,43,0.2,rank_rolling,73,38596,33964,0.8790030055,0.8654163232,0.866880217,0.8720946128,0.01219079912,0.02043529234,0.4794520548,0.6438356164,2831.796726,2831.796726,2831.796726,0,1000,2.424657534
0.88,0,43,0.2,adaptive_mass_rolling,73,38596,33964,0.879158462,0.8652985514,0.8668082388,0.8742682378,0.01211189245,0.02092769263,0.4657534247,0.6301369863,2467.450359,2009.926864,4169.163667,0,1000,2.424657534
0.88,0,59,0.2,margin_rolling,73,38596,33964,0.8786143642,0.8804322224,0.8801788165,0.8975899085,0.009628651239,0.008790804782,0.4931506849,0.4931506849,3571.224974,3442.92654,7128,0.2837121658,1000,2.424657534
0.88,0,59,0.2,rank_rolling,73,38596,33964,0.8800912012,0.8670945707,0.868940241,0.8732980929,0.0110496815,0.01913395665,0.5068493151,0.6301369863,2715.152838,2715.152838,2715.152838,0,1000,2.424657534
0.88,0,59,0.2,adaptive_mass_rolling,73,38596,33964,0.8801689294,0.8672417854,0.8692801951,0.8737500421,0.01058954857,0.01882356339,0.5068493151,0.6301369863,2662.18343,2588.441261,2940.246261,0,1000,2.424657534
0.88,0,71,0.2,margin_rolling,73,38596,33964,0.8791325526,0.8793428336,0.8797826051,0.8963972007,0.008050877892,0.008327495515,0.5342465753,0.5068493151,3498.746702,2988.610676,7128,0.2736721234,1000,2.424657534
0.88,0,71,0.2,rank_rolling,73,38596,33964,0.8797025599,0.8666529266,0.8696140026,0.8733028482,0.01045650837,0.01862344116,0.5068493151,0.6301369863,2834.000471,2834.000471,2834.000471,0,1000,2.424657534
0.88,0,71,0.2,adaptive_mass_rolling,73,38596,33964,0.8804539331,0.8673890001,0.8703173832,0.8746032447,0.01030453429,0.01808746329,0.4657534247,0.6164383562,2747.270257,2615.72462,3244.997274,0,1000,2.424657534
0.88,0,17,0.3,margin_rolling,73,38596,33964,0.8789770961,0.8821987987,0.882304324,0.8993997757,0.008678373164,0.006797335054,0.4931506849,0.397260274,3818.680986,4761.765104,7128,0.3244317513,1000,2.424657534
0.88,0,17,0.3,rank_rolling,73,38596,33964,0.8775002591,0.8640619479,0.8669607896,0.8701355357,0.01309791242,0.02133043611,0.4657534247,0.6301369863,2677.723884,2677.723884,2677.723884,0,1000,2.424657534
0.88,0,17,0.3,adaptive_mass_rolling,73,38596,33964,0.8769043424,0.8632964315,0.8658258918,0.8697454167,0.01327177965,0.02162826876,0.4657534247,0.6164383562,2545.432988,2396.227623,3085.238706,0,1000,2.424657534
0.88,0,29,0.3,margin_rolling,73,38596,33964,0.8805057519,0.8844364621,0.8838678904,0.9003231741,0.00961019526,0.007190326967,0.5342465753,0.4520547945,3786.111648,4571.506801,7128,0.3617948416,1000,2.424657534
0.88,0,29,0.3,rank_rolling,73,38596,33964,0.8792620997,0.866005182,0.8676111246,0.8719785936,0.01009268931,0.01894583129,0.5205479452,0.6712328767,3062.500265,3062.500265,3062.500265,0,1000,2.424657534
0.88,0,29,0.3,adaptive_mass_rolling,73,38596,33964,0.8793916468,0.8663879402,0.8681253075,0.8743377675,0.01010604633,0.01861355785,0.4520547945,0.6849315068,2690.112148,2138.143711,4215.481363,0,1000,2.424657534
0.88,0,43,0.3,margin_rolling,73,38596,33964,0.88014302,0.8817865976,0.8813882833,0.8991334717,0.009050949349,0.00789594368,0.4657534247,0.4657534247,3689.517401,4141.131345,7128,0.321134142,1000,2.424657534
0.88,0,43,0.3,rank_rolling,73,38596,33964,0.8785625453,0.8652985514,0.8675271645,0.8712761692,0.01084455272,0.01931078176,0.5205479452,0.6575342466,3064.062066,3064.062066,3064.062066,0,1000,2.424657534
0.88,0,43,0.3,adaptive_mass_rolling,73,38596,33964,0.879650741,0.8663584972,0.8685847597,0.8728567643,0.01044550066,0.01844286619,0.5068493151,0.6164383562,2945.909551,2813.571841,3432.12051,0,1000,2.424657534
0.88,0,59,0.3,margin_rolling,73,38596,33964,0.8791843714,0.8822871275,0.8815587724,0.8991758458,0.01024968897,0.00872329089,0.5068493151,0.4657534247,3770.726828,4487.402986,7128,0.3232834766,1000,2.424657534
0.88,0,59,0.3,rank_rolling,73,38596,33964,0.8788993678,0.865475209,0.8673713661,0.8715008468,0.01162473231,0.02016817661,0.5205479452,0.6438356164,2818.843629,2818.843629,2818.843629,0,1000,2.424657534
0.88,0,59,0.3,adaptive_mass_rolling,73,38596,33964,0.8786402736,0.8652102226,0.8671074989,0.871806072,0.01154933906,0.02020969493,0.5205479452,0.6438356164,2707.710664,2568.237546,3223.320893,0,1000,2.424657534
0.88,0,71,0.3,margin_rolling,73,38596,33964,0.8785884548,0.8803733365,0.8802222883,0.8972732917,0.008915561234,0.008158837395,0.602739726,0.5479452055,3624.675156,3739.050524,7128,0.2887174656,1000,2.424657534
0.88,0,71,0.3,rank_rolling,73,38596,33964,0.8804021142,0.8671828995,0.8695951328,0.8735330406,0.008715104121,0.01671750222,0.4657534247,0.6712328767,2917.141856,2917.141856,2917.141856,0,1000,2.424657534
0.88,0,71,0.3,adaptive_mass_rolling,73,38596,33964,0.8797284693,0.8667412554,0.869169195,0.8748343017,0.008547878546,0.01677023122,0.5068493151,0.7123287671,2528.172212,2059.272023,4224.786356,0,1000,2.424657534
0.88,0.01,17,0,margin_rolling,73,38596,33964,0.8783811794,0.8798139206,0.8802295093,0.8975646015,0.008691974555,0.007851397003,0.5205479452,0.4657534247,3536.555706,3356.705394,7128,0.2913084442,1000,2.424657534
0.88,0.01,17,0,rank_rolling,73,38596,33964,0.8794693751,0.8661229537,0.8698751404,0.8724212191,0.0106677741,0.01937084149,0.4931506849,0.6438356164,2584.572842,2584.572842,2584.572842,0,1000,2.424657534
0.88,0.01,17,0,adaptive_mass_rolling,73,38596,33964,0.8795989222,0.8662112825,0.8699848423,0.8728015237,0.01081852249,0.01967619377,0.4794520548,0.6301369863,2525.072754,2454.167413,2797.045801,0,1000,2.424657534
