seed,deletion_rate,method,prediction_side,base_relation_id,relation_label,label_count,query_count,label_coverage,mean_size,median_size,p90_size,mrr,top1_accuracy,unique_query_count,positive_undercoverage,full_vocabulary_set_rate,normalized_mean_size,query_full_set_coverage,query_partial_answer_recall,multi_answer_query_fraction,max_answer_count
17,0,static,object,225,95,6,6,1,7122.333333,7123,7128,0.475,0.3333333333,6,0,0.3333333333,0.9992050131,1,1,0,1
17,0,static,object,226,96,10,10,1,7128,7128,7128,0.281503181,0,10,0,1,1,1,1,0,1
17,0,static,object,227,97,5,5,1,4539.2,7128,7128,0.6666666667,0.4,5,0,0.6,0.6368125701,1,1,0,1
17,0,static,object,228,98,4,4,1,7120.75,7128,7128,0.501945511,0.5,4,0,0.75,0.9989828844,1,1,0,1
17,0,static,object,229,99,11,11,1,7114.818182,7128,7128,0.2254803818,0.1818181818,11,0,0.8181818182,0.9981506989,1,1,0,1
17,0,static,subject,0,0,3188,3188,0.7205144291,2122.540151,125,7128,0.2403677381,0.152446675,2598,0.1794855709,0.1220200753,0.2977749931,0.7421093149,0.7728469396,0.1335642802,9
17,0,static,subject,1,1,2206,2206,0.76881233,2622.532638,421,7128,0.2028988641,0.1219401632,1816,0.13118767,0.1867633726,0.3679198426,0.7577092511,0.790712188,0.1613436123,5
17,0,static,subject,2,10,513,513,0.8245614035,2035.1423,37,7128,0.3825050323,0.2631578947,451,0.07543859649,0.1949317739,0.2855137907,0.8070953437,0.8320399113,0.110864745,4
17,0,static,subject,3,100,4,4,1,7124.25,7128,7128,0.251401728,0.25,4,0,0.75,0.9994739057,1,1,0,1
17,0,static,subject,4,101,10,10,1,7127.7,7128,7128,0.078055102,0,10,0,0.9,0.9999579125,1,1,0,1
17,0,static,subject,5,102,10,10,1,6553.8,6935.5,7128,0.38791423,0,10,0,0.2,0.9194444444,1,1,0,1
17,0,static,subject,6,103,10,10,1,6996.2,7128,7128,0.5641815654,0.5,10,0,0.7,0.9815095398,1,1,0,1
17,0,static,subject,7,104,4,4,1,3887,4172,7128,0.3293115201,0.25,4,0,0.5,0.5453142536,1,1,0,1
17,0,static,subject,8,105,7,7,1,5788.285714,7126,7128,0.2730674088,0.1428571429,7,0,0.4285714286,0.812049062,1,1,0,1
