seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate
17,0,margin_static,301,14.88379383,score_margin,16368,31,616,552,0.8733766234,0.8731884058,0.8913647343,3758.730072,5109,7128,0.01630434783,0.3170289855
17,0,margin_rolling,301,17.78324986,score_margin,1000,2,616,552,0.9172077922,0.9166666667,0.9303140097,4569.675725,7114,7128,0.001811594203,0.4239130435
17,0,rank_static,301,3547,rank,16368,31,616,552,0.8555194805,0.8442028986,0.8565217391,3547,3547,3547,0,0
17,0,rank_expanding,301,3547,rank,16368,31,616,552,0.8555194805,0.8442028986,0.8565217391,3547,3547,3547,0,0
17,0,rank_rolling,301,3242,rank,1000,2,616,552,0.8522727273,0.8405797101,0.8528985507,3242,3242,3242,0,0
17,0,margin_static,302,14.88379383,score_margin,16984,32,570,490,0.8456140351,0.8408163265,0.8624684159,3298.087755,1408,7128,0.02653061224,0.2734693878
17,0,margin_rolling,302,17.00041509,score_margin,1000,2,570,490,0.8789473684,0.8755102041,0.8957045675,3945.336735,6264,7128,0.01224489796,0.3489795918
17,0,rank_static,302,3547,rank,16984,32,570,490,0.8842105263,0.8714285714,0.8802721088,3547,3547,3547,0,0
17,0,rank_expanding,302,3600,rank,16984,32,570,490,0.8877192982,0.8755102041,0.8843537415,3600,3600,3600,0,0
17,0,rank_rolling,302,4835,rank,1000,2,570,490,0.9245614035,0.9163265306,0.9214285714,4835,4835,4835,0,0
17,0,margin_static,303,14.88379383,score_margin,17554,33,542,485,0.8782287823,0.8701030928,0.884467354,3381.872165,1561,7128,0.02474226804,0.2989690722
17,0,margin_rolling,303,17.99513578,score_margin,1000,2,542,485,0.9169741697,0.9113402062,0.9246735395,4335.082474,6867,7128,0.00618556701,0.3979381443
17,0,rank_static,303,3547,rank,17554,33,542,485,0.8708487085,0.8577319588,0.8659793814,3547,3547,3547,0,0
17,0,rank_expanding,303,3611,rank,17554,33,542,485,0.8708487085,0.8577319588,0.8659793814,3611,3611,3611,0,0
17,0,rank_rolling,303,4369,rank,1000,2,542,485,0.8856088561,0.8721649485,0.881443299,4369,4369,4369,0,0
17,0,margin_static,304,14.88379383,score_margin,18096,34,328,281,0.8567073171,0.8505338078,0.887603796,3190.932384,1067,7128,0.03202846975,0.2419928826
17,0,margin_rolling,304,16.8095347,score_margin,1000,2,328,281,0.875,0.8683274021,0.90628707,3817.377224,5208,7128,0.01423487544,0.3096085409
17,0,rank_static,304,3547,rank,18096,34,328,281,0.8841463415,0.8790035587,0.8807829181,3547,3547,3547,0,0
17,0,rank_expanding,304,3659,rank,18096,34,328,281,0.887195122,0.8825622776,0.8825622776,3659,3659,3659,0,0
17,0,rank_rolling,304,4637,rank,1000,2,328,281,0.9329268293,0.9359430605,0.9359430605,4637,4637,4637,0,0
17,0,margin_static,305,14.88379383,score_margin,18424,35,328,295,0.868902439,0.8644067797,0.885819209,2800.325424,796,7128,0.01016949153,0.2169491525
17,0,margin_rolling,305,17.95536423,score_margin,1000,3,328,295,0.9298780488,0.9288135593,0.9444067797,3961.172881,5775,7128,0.003389830508,0.3084745763
17,0,rank_static,305,3547,rank,18424,35,328,295,0.9268292683,0.9186440678,0.9203389831,3547,3547,3547,0,0
17,0,rank_expanding,305,3667,rank,18424,35,328,295,0.9268292683,0.9186440678,0.9203389831,3667,3667,3667,0,0
17,0,rank_rolling,305,4151,rank,1000,3,328,295,0.9298780488,0.9220338983,0.9237288136,4151,4151,4151,0,0
17,0,margin_static,306,14.88379383,score_margin,18752,36,582,513,0.8573883162,0.873294347,0.8915529565,3329.376218,1060,7128,0.02923976608,0.2807017544
17,0,margin_rolling,306,17.18708611,score_margin,1000,3,582,513,0.8934707904,0.9064327485,0.922157245,3966.233918,6123,7128,0.01169590643,0.3586744639
17,0,rank_static,306,3547,rank,18752,36,582,513,0.9175257732,0.9064327485,0.9106562703,3547,3547,3547,0,0
17,0,rank_expanding,306,3646,rank,18752,36,582,513,0.9175257732,0.9064327485,0.9106562703,3646,3646,3646,0,0
17,0,rank_rolling,306,3759,rank,1000,3,582,513,0.9192439863,0.9083820663,0.912605588,3759,3759,3759,0,0
17,0,margin_static,307,14.88379383,score_margin,19334,37,588,510,0.8554421769,0.868627451,0.8889215686,3486.486275,2313,7128,0.02549019608,0.2803921569
17,0,margin_rolling,307,17.34167004,score_margin,1000,3,588,510,0.8945578231,0.9019607843,0.9183333333,4284.327451,6811.5,7128,0.005882352941,0.3666666667
17,0,rank_static,307,3547,rank,19334,37,588,510,0.8639455782,0.8431372549,0.8492810458,3547,3547,3547,0,0
17,0,rank_expanding,307,3612,rank,19334,37,588,510,0.8639455782,0.8431372549,0.8492810458,3612,3612,3612,0,0
17,0,rank_rolling,307,2869,rank,1000,3,588,510,0.8452380952,0.8215686275,0.8277124183,2869,2869,2869,0,0
17,0,margin_static,308,14.88379383,score_margin,19922,38,562,497,0.8558718861,0.8591549296,0.8768803296,3482.569416,1975,7128,0.02615694165,0.3219315895
17,0,margin_rolling,308,17.65591836,score_margin,1000,2,562,497,0.8896797153,0.8893360161,0.9073009485,4217.444668,6923,7128,0.01006036217,0.3943661972
17,0,rank_static,308,3547,rank,19922,38,562,497,0.8665480427,0.8551307847,0.8581488934,3547,3547,3547,0,0
17,0,rank_expanding,308,3672,rank,19922,38,562,497,0.871886121,0.861167002,0.8641851107,3672,3672,3672,0,0
17,0,rank_rolling,308,4041,rank,1000,2,562,497,0.8790035587,0.8672032193,0.8712273642,4041,4041,4041,0,0
17,0,margin_static,309,14.88379383,score_margin,20484,39,626,535,0.8498402556,0.8560747664,0.8736137072,3592.633645,4150,7128,0.01869158879,0.308411215
17,0,margin_rolling,309,18.1419684,score_margin,1000,2,626,535,0.9073482428,0.9121495327,0.9282554517,4436.080374,7090,7128,0.007476635514,0.4093457944
17,0,rank_static,309,3547,rank,20484,39,626,535,0.8785942492,0.8635514019,0.8691588785,3547,3547,3547,0,0
17,0,rank_expanding,309,3696,rank,20484,39,626,535,0.8801916933,0.8654205607,0.8710280374,3696,3696,3696,0,0
17,0,rank_rolling,309,4560,rank,1000,2,626,535,0.9057507987,0.8953271028,0.8981308411,4560,4560,4560,0,0
17,0,margin_static,310,14.88379383,score_margin,21110,40,620,527,0.8725806452,0.8614800759,0.9000948767,2973.85389,791,7128,0.01707779886,0.2220113852
17,0,margin_rolling,310,17.70560127,score_margin,1000,2,620,527,0.9274193548,0.9184060721,0.9424414927,3988.005693,6121,7128,0.01138519924,0.3149905123
17,0,rank_static,310,3547,rank,21110,40,620,527,0.9387096774,0.9297912713,0.9297912713,3547,3547,3547,0,0
