seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
71,0,rolling_count_500,38596,0.8992900819,0.8992749381,0.008771578316,0.5068493151,3499.808737,2951.518914,7128
17,0,rolling_count_1000,38596,0.898745984,0.8993379484,0.007808384137,0.5890410959,3646.283112,3875.489455,7128
29,0,rolling_count_1000,38596,0.8988237123,0.8988753469,0.008967514429,0.5890410959,3698.816613,4007.214815,7128
43,0,rolling_count_1000,38596,0.8976577884,0.8968229768,0.009842408533,0.5616438356,3230.235776,1837.228702,7128
59,0,rolling_count_1000,38596,0.8990309877,0.8990298789,0.008254430133,0.5342465753,3491.08177,2877.656337,7128
71,0,rolling_count_1000,38596,0.8989532594,0.8990601925,0.008265139249,0.5753424658,3478.513007,2845.355037,7128
17,0,rolling_count_2000,38596,0.8964918644,0.8975662943,0.00924761264,0.5342465753,3601.676858,3607.330501,7128
29,0,rolling_count_2000,38596,0.895973676,0.8966724076,0.009431478454,0.5616438356,3642.615375,3677.177998,7128
43,0,rolling_count_2000,38596,0.8953000311,0.895168829,0.01055999029,0.5616438356,3187.239973,1627.348378,7128
59,0,rolling_count_2000,38596,0.895481397,0.8956797524,0.009709582931,0.5890410959,3429.544771,2578.821147,7128
71,0,rolling_count_2000,38596,0.8967768681,0.8977430562,0.008525987779,0.5479452055,3436.618924,2573.659706,7128
17,0,weighted_count_250,38596,0.9076847342,0.9069313336,0.008333184784,0.3835616438,3820.830034,4691.335553,7128
29,0,weighted_count_250,38596,0.9091874806,0.9077012733,0.006742385373,0.3150684932,3893.638434,4891.50355,7128
43,0,weighted_count_250,38596,0.902010571,0.9008550159,0.01025766319,0.4520547945,3331.656856,2393.202353,7128
59,0,weighted_count_250,38596,0.9073479117,0.9066939971,0.008130954095,0.4246575342,3666.154576,3730.71668,7128
71,0,weighted_count_250,38596,0.906441082,0.9057760213,0.007789779733,0.4383561644,3661.008187,3752.316924,7128
17,0,weighted_count_500,38596,0.8963104985,0.8968593056,0.01126607341,0.5342465753,3634.819826,3675.615971,7128
29,0,weighted_count_500,38596,0.8999378174,0.8997818218,0.009115202115,0.5205479452,3721.045367,4095.140377,7128
43,0,weighted_count_500,38596,0.8970100529,0.8965026894,0.0106403309,0.5479452055,3222.627708,1923.049617,7128
59,0,weighted_count_500,38596,0.8973468753,0.8968827198,0.01111886369,0.5205479452,3482.962613,2847.259353,7128
71,0,weighted_count_500,38596,0.8972691471,0.8972860079,0.01028197763,0.5479452055,3466.348689,2800.311587,7128
17,0,weighted_count_1000,38596,0.8980723391,0.8987021939,0.008264820206,0.602739726,3630.551819,3801.606747,7128
29,0,weighted_count_1000,38596,0.8980464297,0.8980724531,0.009483734496,0.6164383562,3684.843041,3934.517826,7128
43,0,weighted_count_1000,38596,0.8962068608,0.8954520216,0.01067435796,0.5890410959,3205.882216,1748.609985,7128
59,0,weighted_count_1000,38596,0.8980464297,0.8979373144,0.008873470173,0.5616438356,3473.00285,2788.186289,7128
71,0,weighted_count_1000,38596,0.898253705,0.898332895,0.008638803848,0.5753424658,3464.549202,2767.349933,7128
17,0,weighted_count_2000,38596,0.8961032231,0.8970652289,0.00940534379,0.5479452055,3597.528397,3590.501218,7128
29,0,weighted_count_2000,38596,0.8955850347,0.8963129815,0.009656632244,0.5753424658,3638.233029,3662.044797,7128
43,0,weighted_count_2000,38596,0.8948595709,0.8947541611,0.01083758665,0.5753424658,3179.848637,1609.473702,7128
59,0,weighted_count_2000,38596,0.8951963934,0.8955105925,0.009604955353,0.5890410959,3427.408902,2559.139807,7128
71,0,weighted_count_2000,38596,0.8962845891,0.8972427074,0.008784351714,0.5479452055,3427.787284,2508.979454,7128
17,0,time_window_3,38596,0.8957664007,0.8966829199,0.009341568977,0.5342465753,3591.750104,3594.367188,7128
29,0,time_window_3,38596,0.8954295782,0.8959939874,0.01051787357,0.5753424658,3640.317494,3756.265546,7128
43,0,time_window_3,38596,0.8956109441,0.8952389851,0.01089022718,0.5753424658,3189.078687,1671.798477,7128
59,0,time_window_3,38596,0.8955850347,0.895728676,0.009993492713,0.5753424658,3435.463235,2588.062286,7128
71,0,time_window_3,38596,0.8957404912,0.8963471853,0.009784014939,0.5753424658,3432.316173,2601.047103,7128
17,0,time_window_7,38596,0.8933050057,0.8940082035,0.01130080808,0.6164383562,3545.407296,3275.391206,7128
29,0,time_window_7,38596,0.892398176,0.8929532757,0.011730528,0.6164383562,3580.936936,3316.896958,7128
43,0,time_window_7,38596,0.8911545238,0.8914011721,0.01316233646,0.6712328767,3124.216033,1379.434138,7128
59,0,time_window_7,38596,0.8920354441,0.8921892478,0.01239541537,0.6849315068,3367.531506,2093.486423,7128
71,0,time_window_7,38596,0.8929940927,0.8934681689,0.01040277829,0.698630137,3380.402891,2188.486346,7128
17,0,time_window_14,38596,0.8877862991,0.8881491426,0.01519963227,0.7397260274,3457.021142,2655.546948,7128
29,0,time_window_14,38596,0.888149031,0.8883907335,0.01488461251,0.6575342466,3490.615737,2742.653669,7128
43,0,time_window_14,38596,0.8834853353,0.8834395166,0.01894494778,0.7808219178,3004.68704,1026.460022,7128
59,0,time_window_14,38596,0.8860762773,0.8863184352,0.01636746369,0.7397260274,3266.825474,1593.657218,7128
71,0,time_window_14,38596,0.886179915,0.8864886789,0.01586914852,0.8219178082,3277.634496,1682.034719,7128
17,0,time_window_30,38596,0.8770857084,0.8772120989,0.02424565725,0.8493150685,3272.530547,1812.5413,7128
29,0,time_window_30,38596,0.8761270598,0.8756809982,0.02521548043,0.9178082192,3313.205384,1858.232744,7128
43,0,time_window_30,38596,0.8701419836,0.869251652,0.03132920745,0.9315068493,2769.650482,616.8683024,7128
