seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size,extra_delay_blocks
17,0,static,300,664,14.88379383,12000,30,,0.8539156627,3239.135542,1098,7128,7
17,0,rolling,300,664,15.21575308,1000,9,,0.8674698795,3332.896084,1315,7128,7
17,0,static,301,616,14.88379383,16368,31,,0.8733766234,3525.556818,2039,7128,0
17,0,rolling,301,616,17.78324986,1000,2,,0.9172077922,4306.438312,7035.5,7128,0
17,0,static,301,616,14.88379383,15704,31,,0.8733766234,3525.556818,2039,7128,1
17,0,rolling,301,616,16.71952009,1000,4,,0.9025974026,4041.238636,6552,7128,1
17,0,static,301,616,14.88379383,14750,31,,0.8733766234,3525.556818,2039,7128,3
17,0,rolling,301,616,17.46262169,1000,6,,0.9107142857,4227.222403,6956,7128,3
17,0,static,301,616,14.88379383,12658,31,,0.8733766234,3525.556818,2039,7128,7
17,0,rolling,301,616,15.27624702,1000,9,,0.8798701299,3654.258117,4151.5,7128,7
17,0,static,302,570,14.88379383,16984,32,,0.8456140351,3074.280702,905,7128,0
17,0,rolling,302,570,17.00041509,1000,2,,0.8789473684,3682.270175,4176.5,7128,0
17,0,static,302,570,14.88379383,16368,32,,0.8456140351,3074.280702,905,7128,1
17,0,rolling,302,570,17.78324986,1000,3,,0.8877192982,3868.896491,5461,7128,1
17,0,static,302,570,14.88379383,15002,32,,0.8456140351,3074.280702,905,7128,3
17,0,rolling,302,570,16.71952009,1000,6,,0.8701754386,3610.663158,3830,7128,3
17,0,static,302,570,14.88379383,13276,32,,0.8456140351,3074.280702,905,7128,7
17,0,rolling,302,570,16.07439041,1000,9,,0.8596491228,3451.666667,1721,7128,7
17,0,static,303,542,14.88379383,17554,33,,0.8782287823,3177.479705,1198,7128,0
17,0,rolling,303,542,17.99513578,1000,2,,0.9169741697,4114.859779,6645,7128,0
17,0,static,303,542,14.88379383,16984,33,,0.8782287823,3177.479705,1198,7128,1
17,0,rolling,303,542,17.00041509,1000,3,,0.9003690037,3849.51476,5494.5,7128,1
17,0,static,303,542,14.88379383,15704,33,,0.8782287823,3177.479705,1198,7128,3
